00000033.png 921.47,262.86;1372.54,256.73;1389,833.04;928.24,837.57
00005438.png 892.41,264.71;1344.2,261.59;1357.57,834.12;898.79,840.65
00005472.png 893.67,265.62;1342.99,262.69;1355.94,833.27;897.81,838.87
00005505.png 892.82,265;1342.71,261.06;1358.29,833.82;897.08,840.39
00005538.png 893.06,266.12;1341.93,262.42;1355.62,829.37;898.36,838.47
00005572.png 893.21,265.12;1342.25,259.66;1357.63,832.11;897.98,839.15
00005605.png 893.61,264.26;1342.67,260.7;1356.06,833.01;897.38,837.08
00005638.png 892.13,264.1;1341.83,260.73;1357.72,833.7;896.8,838.48
00005672.png 893.46,265.85;1341.75,261.24;1355.84,831.92;899.18,837.01
00005705.png 892.08,262.98;1341.72,260.41;1355.85,834.68;897.4,838.1
00005739.png 892,264.54;1342.12,260.75;1357,832.65;896.67,837.25
00005772.png 891.55,264.16;1342.12,260.36;1356.34,832.49;896.01,838.76
00005805.png 891.87,265.33;1341.49,261.24;1357.69,832.42;897.11,838.53
00005839.png 892.09,264.97;1342.3,261.51;1356.88,832.04;897.03,837.82
00005872.png 892.29,265.77;1341.14,262.6;1355.26,833.36;896.85,837.51
00005905.png 891.42,266.61;1340.12,262.87;1354.85,835.05;896.53,837.97
00005939.png 892.31,266.3;1341.32,263.1;1355.25,833.51;896.69,838.63
00005972.png 891.3,265.91;1342.13,261.6;1356.04,834.29;896.38,838.82
00006006.png 892.5,267.04;1340.84,263.29;1354.58,833.74;898.39,838.73
00006039.png 891.39,266.42;1341.82,263.29;1355.87,834.78;896.3,840.44
00006072.png 892.49,267.18;1344.59,264.01;1357.32,837.48;898.67,842.85
00006106.png 892.8,268.33;1343.43,265.58;1356.04,836.65;898.42,840.91
00006139.png 893.59,269.01;1344.38,264.87;1357.59,838.23;896.88,842.33
00006172.png 894.37,268.48;1346.25,265.55;1357.72,837.4;898.22,843.23
00006206.png 893.83,271.19;1344.75,265.73;1360.79,836.99;899.07,845.53
00006239.png 893.46,268.3;1347.23,265.1;1358.8,839.3;899.23,843.5
00006272.png 893.92,268.11;1346.11,264.86;1358.83,839.47;898.47,844.08
00006306.png 895.87,268.61;1343.68,266.25;1357.37,834.58;899.57,841.17
00006339.png 893.96,267.58;1344.96,265.33;1357.31,837.51;896.99,841.8
00006373.png 893.12,266.5;1345.76,263.73;1358.24,837.19;897.34,842.17
00006406.png 896.47,266.95;1343.5,265.36;1356.81,833.62;901.83,839.71
00006439.png 896.6,264.68;1345.42,262.51;1358.79,835.22;896.22,840.33
00006473.png nan,nan;nan,nan;nan,nan;nan,nan
00006506.png nan,nan;nan,nan;nan,nan;nan,nan
00006539.png 895.54,266.58;1346.89,264.36;1359.29,832.48;897.18,840.84
00006573.png nan,nan;nan,nan;nan,nan;nan,nan
00006606.png nan,nan;nan,nan;nan,nan;nan,nan
00006639.png nan,nan;nan,nan;nan,nan;nan,nan
00006673.png 897.37,267.78;1345.1,265.08;1358.98,830.17;897.75,840.95
00006706.png nan,nan;nan,nan;nan,nan;nan,nan
00006740.png nan,nan;nan,nan;nan,nan;nan,nan
00006773.png nan,nan;nan,nan;nan,nan;nan,nan
00006806.png nan,nan;nan,nan;nan,nan;nan,nan
00006840.png nan,nan;nan,nan;nan,nan;nan,nan
00006873.png nan,nan;nan,nan;nan,nan;nan,nan
00006906.png nan,nan;nan,nan;nan,nan;nan,nan
00006940.png nan,nan;nan,nan;nan,nan;nan,nan
00006973.png nan,nan;nan,nan;nan,nan;nan,nan
00007007.png nan,nan;nan,nan;nan,nan;nan,nan
00007040.png nan,nan;nan,nan;nan,nan;nan,nan
00007073.png nan,nan;nan,nan;nan,nan;nan,nan
00007107.png nan,nan;nan,nan;nan,nan;nan,nan
00007140.png nan,nan;nan,nan;nan,nan;nan,nan
00007173.png nan,nan;nan,nan;nan,nan;nan,nan
00007207.png nan,nan;nan,nan;nan,nan;nan,nan
00007240.png nan,nan;nan,nan;nan,nan;nan,nan
00007273.png nan,nan;nan,nan;nan,nan;nan,nan
00007307.png nan,nan;nan,nan;nan,nan;nan,nan
00007340.png nan,nan;nan,nan;nan,nan;nan,nan
00007374.png nan,nan;nan,nan;nan,nan;nan,nan
00007407.png nan,nan;nan,nan;nan,nan;nan,nan
00007440.png nan,nan;nan,nan;nan,nan;nan,nan
00007474.png nan,nan;nan,nan;nan,nan;nan,nan
00007507.png nan,nan;nan,nan;nan,nan;nan,nan
00007540.png nan,nan;nan,nan;nan,nan;nan,nan
00007574.png 897.38,256.98;1350.78,248.97;1365.8,822.48;906.48,833.02
00007607.png 897.3,256.46;1350.65,250.48;1367.23,820.72;905.83,831.34
00007640.png 898.23,256.87;1348.61,248.67;1366.14,823.68;904.92,830.55
00007674.png nan,nan;nan,nan;nan,nan;nan,nan
00007707.png 896.85,256.84;1347.83,249.44;1364.91,822.78;904.58,830.85
00007741.png 897.48,257.09;1347.24,251.2;1362.96,822.48;905.08,830.54
00007774.png 899.79,258.62;1344.47,253.7;1362.18,820.78;907.66,830.06
00007807.png 896.29,258.38;1347.79,250.73;1365.04,822.58;904.72,831.2
00007841.png 898.36,258.27;1345.62,254.05;1363.38,822.29;906.6,830.44
00007874.png 898.49,260.91;1345.2,254.42;1363.74,822.46;906.95,830.68
00007907.png 897.31,259.56;1346.46,252.13;1362.8,823.86;905.5,830.78
00007941.png 895.75,258.44;1348.53,252.2;1365.46,823.26;904.92,833.31
00007974.png 896.63,258.57;1347.68,251.92;1365.27,824.51;905.24,831.98
00008008.png 898.09,259.43;1347.52,252.23;1364.44,823.41;906.57,831.31
00008041.png 897.69,259.01;1348.36,251.02;1366.31,824.14;907.39,831.79
00008074.png 897.57,257.76;1349.01,251.7;1365.37,822.15;907.62,830.85
00008108.png 898.02,258.35;1349.26,251.56;1366.51,823;908.64,830.93
00008141.png 899.02,259.61;1349.16,251.49;1367.62,822.22;909.3,832.28
00008174.png 900.38,258.16;1350.63,249.56;1369.13,820.83;909.51,830.94
00008208.png 900.97,256.91;1350.45,249.51;1369.38,821.86;909.8,829.08
00008241.png 900.39,256.65;1351.2,248.24;1369.98,820.57;910.77,828.34
00008274.png 901.37,257.06;1350.5,249.35;1368.86,821.2;911.09,827.99
00008308.png 900.44,255.24;1351.13,246.52;1370.23,819.23;910.49,827.59
00008341.png 901.18,255.12;1350.37,247.58;1369.2,818.39;911.93,825.91
00008375.png 900.82,252.97;1351.26,244.97;1370.09,815.38;910.52,825.22
00008408.png 901.21,252.88;1351.17,245.79;1370.1,815.76;910.65,824.48
00008441.png 901.97,251.69;1351.14,243.81;1369.22,815.61;911.69,823.75
00008475.png 902.31,251.13;1353.16,242.41;1371.61,815.48;911.29,824.14
00008508.png 903.68,249.91;1353.47,242.67;1371.35,814;912.17,823.4
00008541.png 904.49,250.41;1353.7,242.6;1373.25,812.6;913.9,822.46
00008575.png 904.64,248.61;1355.93,241.45;1374.18,812.76;912.96,822.62
00008608.png 905.92,248.48;1356.23,241.36;1373.79,812.71;914.89,820.64
00008641.png 907.51,247.79;1358.73,239.94;1376.84,812.57;916.17,821.28
00008675.png 907.85,246.71;1359.56,239.35;1378.28,813.84;916.76,821.61
00008708.png 909.91,246.62;1362.11,239.6;1378.26,813.07;918.49,821.07
00008742.png 910.89,247.79;1361.17,241.3;1378.34,813.47;920.5,820.12
00008775.png 910.16,247.76;1362.91,238.92;1379.68,812.08;920.29,821.42
00008808.png 911.5,247.54;1363.86,239.39;1381.07,814.08;920.51,821.09
00008842.png 912.13,247.05;1362.58,241.02;1380.89,814.78;920.37,821.49
00008875.png 912.17,248.2;1363,241.78;1379.31,814.33;920.12,821
00008908.png 912.63,248.46;1364.18,241.34;1380.47,814.63;920.32,822.26
00008942.png 913.3,248.5;1364.66,242.18;1381.47,815.11;921.26,821.11
00008975.png 914.51,248.66;1366.53,242.27;1383.52,815.77;922.32,823.16
00009009.png 914.76,249.51;1366.41,241.56;1383.85,816.83;924.6,823.27
00009042.png 915.47,249.14;1366.72,242.61;1385.57,811.5;924.42,823.91
00009075.png 916.62,250.8;1368.26,243.49;1384.65,816.75;925.02,824.06
00009109.png 917.36,251.84;1368.26,244.58;1384.98,816.76;925.48,823.86
00009142.png 918.19,252.55;1369.17,244.89;1386.48,818.13;925.95,825.09
00009175.png 919.01,253.51;1369.47,245.35;1386.62,819.54;926.24,825.82
00009209.png 918.94,253.74;1369.25,247.82;1386.49,818.35;927.98,826.3
00009242.png 918.24,254.35;1369.97,247.72;1387.75,820.66;926.13,828.69
00009275.png 919.21,255.46;1369.36,249.3;1387.44,820.33;927.05,827.57
00009309.png 921.32,254.71;1372.7,247.45;1390.11,821.94;929.27,828.61
00009342.png 921.88,255.88;1374.04,247.9;1391.39,823.21;929.84,829.94
00009376.png 922.17,256.29;1374.51,248.28;1391.17,823.86;929.65,830.05
00009409.png 922.28,257.23;1374.2,250.81;1393.3,824.65;931.42,830.56
00009442.png 924.04,257.34;1376.11,250.8;1392.89,825.4;932.2,830.99
00009476.png 923.3,256.88;1376.47,249.81;1394,825.65;931.49,831.93
00009509.png 924.87,258.46;1377.38,250.49;1394.16,825.61;932.43,831.96
00009542.png 923.88,258.32;1377.3,250.1;1394.24,826.04;932.87,832.32
00009576.png 925.35,258.39;1377.43,250.53;1395.22,825.83;933.17,832.46
00009609.png 925.52,257.64;1377.37,250.35;1394.7,825.29;933.52,832.11
00009642.png 925.33,259.28;1376.16,251.17;1395.37,825.43;933.3,831.12
00009676.png 924.46,258.14;1375.95,249.72;1394.47,827.13;932.86,833.82
00009709.png 922.58,257.71;1376.34,250.08;1394.41,827.19;932.36,833.55
00009743.png 922.35,259.44;1374.9,252.32;1393.62,828.16;930.02,835.03
00009776.png 922.52,261.55;1373.29,253.52;1391.56,826.82;930.91,834.08
00009809.png 921.74,261.79;1374.17,254.16;1391.81,828.24;929.97,836.12
00009843.png 919.92,261.7;1371.65,254.5;1389.97,827.56;928.41,836.59
00009876.png 919.83,262.43;1371.23,255.01;1390.26,829.56;927.86,836.74
00009909.png 918.64,263.73;1369.63,256.19;1388.31,829.06;926.62,836.42
00009943.png 918.34,263.96;1369.86,256.88;1388.02,829.85;927.26,838.02
00009976.png 918.44,265.08;1368.96,257.27;1386.62,830.16;926.67,838.18
00010010.png 917.86,265.2;1369.12,258.45;1387.3,832.89;925.49,839.77
00010043.png 918.84,266.65;1369.63,259.08;1387.45,832.04;927.35,839.89
00010076.png 918.35,266.76;1370.35,258.8;1388.52,834.3;927.49,841.8
00010110.png 919.7,267.35;1371.34,260.07;1390.14,833.24;927.71,843.08
00010143.png 920.84,269.63;1371.43,262.06;1389.41,836.52;930.04,841.86
00010176.png 920.66,269.61;1372.5,261.44;1391.47,837.83;928.8,844.07
00010210.png 920.17,269.74;1372.64,262.35;1391.78,837.17;928.49,845.54
00010243.png 920.7,270.37;1371.86,263.2;1390.54,838.56;928.97,844.81
00010276.png 921.17,271.51;1372.78,263.58;1391.29,839.66;929.21,845.76
00010310.png 920.79,271.44;1372.58,264.58;1391.32,839.71;928.89,846.02
00010343.png 921.05,271.69;1371.97,265.38;1391.22,840.6;928.48,846.68
00010377.png 921.72,273.31;1371.69,266.03;1390.14,841.98;929.67,845.8
00010410.png 922.28,273.54;1372.55,266.83;1391.01,841.59;930,846.68
00010443.png 921.89,273.52;1374.04,267.14;1391.24,841.58;928.96,847.96
00010477.png 921.17,272.42;1374.62,265.28;1391.51,842.31;928.96,847.67
00010510.png 921.79,271.95;1373.77,266.14;1391.3,842.12;928.68,847.65
00010543.png 921.95,272.25;1373.04,267.02;1390.3,842.37;927.6,846.85
00010577.png 921.28,273.36;1372.34,267.67;1388.54,841.76;928.23,846.07
00010610.png 920.78,271.93;1372.55,266.9;1389.43,842.71;926.49,847.32
00010643.png 921.98,273.16;1372.62,267.68;1388.23,841.67;926.93,846.3
00010677.png 921.88,272.61;1373.37,267.5;1387.97,842.35;927.66,846.38
00010710.png 923.18,272.03;1374.7,267.84;1389.17,842.44;927.54,846.26
00010744.png 924.71,273.26;1374.66,268.88;1389.51,843.26;927.95,846.85
00010777.png 922.95,273.08;1376.61,268.38;1390.46,844.72;927.46,848.97
00010810.png 923.93,274.46;1376.37,269.59;1390.11,845.26;927.73,848.09
00010844.png 923.14,275.79;1376.03,271.12;1389.56,846.14;927.58,849.25
00010877.png 923.16,275.81;1375.91,272.39;1390,847.43;927.72,851.08
00010910.png 923.01,275.11;1376.23,272.47;1389.82,848.3;926.63,851.68
00010944.png 923.76,277.58;1375.81,274.01;1388.84,850.44;926.91,851.47
00010977.png 923.38,278.1;1375.52,275.3;1388.18,850.64;926,852.41
00011011.png 923.6,278.34;1375.56,275.54;1388.98,850.85;925.38,853.84
00011044.png 924.6,279.94;1376.33,277.03;1388.3,853.02;927.28,853.96
00011077.png 924.45,279.93;1375.85,277.01;1389.12,854.26;925.64,856.43
00011111.png 924.55,281.12;1377.77,278.3;1389.72,855.11;926.48,856.99
00011144.png 924.96,281.83;1377.15,279.59;1389.79,856.48;926.5,857.67
00011177.png 926.66,283.58;1376.89,281.03;1389.21,856.28;927.27,857.49
00011211.png 926.23,283.75;1377.55,281.52;1390.58,858.65;928.09,859.13
00011244.png 926.23,284.94;1378.77,282.61;1391.47,858.83;927.95,859.34
00011277.png 927.54,285.39;1379.57,283.53;1391.39,859.56;928.25,860.86
00011311.png 929.06,287.4;1380.94,285.72;1392.93,861.12;929.93,862.43
00011344.png 929.37,288.21;1381.57,285.53;1394.75,862.27;929.97,865.26
00011378.png 931.88,289.52;1382.77,287.06;1396.58,864.45;931.75,865.68
00011411.png 931.69,290.32;1384.71,288.26;1398.11,864.26;933.7,865.6
00011444.png 932.7,290.2;1385.05,288.96;1398.95,865.13;934.58,866.01
00011478.png 935.23,291.21;1387.78,286.94;1401.64,866.49;936.77,867.92
00011511.png 935.78,291.44;1388.45,288.28;1402.67,865.92;937.67,867.85
00011544.png 937.33,292.1;1391.11,288.19;1403.92,866.54;939.87,868.21
00011578.png 937.58,291.24;1391.22,287.28;1405.05,866.69;939.94,868.33
00011611.png 938.61,290.82;1392.74,286.53;1406.61,866.29;941.9,867.89
00011644.png 939.22,289.77;1393.63,286.23;1407.97,865.85;942.3,868.52
00011678.png 940.94,289.65;1394.39,285.54;1408.94,865.62;943.77,867.16
00011711.png 942.11,288.23;1395.41,284.98;1410.58,862.55;944.99,865.04
00011745.png 943.12,288.55;1395.28,284.79;1411.21,862.07;945.35,864.23
00011778.png 943.38,288.08;1396.72,283.14;1411.18,862.2;947.37,863.29
00011811.png 945.18,285.18;1399.59,281.06;1414.75,860.23;948.18,862.92
00011845.png 947.52,285.32;1401.12,280.41;1416.05,858.74;950.66,861.35
00011878.png 948.6,283.91;1402.13,279.81;1418.35,857.91;952.16,861.09
00011911.png 950.87,283.36;1406.84,277.94;1421.56,857.42;955.21,859.62
00011945.png 953.41,282.85;1407.72,277.08;1424.34,857.25;957.27,858.91
