00000033.png 860.28,220.7;1331,210.38;1341.1,806.58;872.03,813.9
00003603.png 869.91,444.16;1495.52,433.75;1408.97,899.76;922.81,899.29
00003636.png 871.22,440.52;1498.08,430.28;1407.93,893.48;923.11,891.16
00003670.png 870.26,437.69;1498.4,429.57;1407.44,891.28;923.2,887.29
00003703.png 871.89,435.12;1499.1,428.09;1406.84,883.68;922.72,881.03
00003737.png 872.59,433.57;1503.24,428.82;1407.89,881.38;922.87,878.76
00003770.png 872.63,431.96;1503.9,428.03;1406.69,878.42;921.89,873.12
00003803.png 873.07,429.42;1506.03,427.48;1407.53,874.57;922.92,870.02
00003837.png 875.52,426.48;1508.36,427.19;1408.64,876.14;923.54,866.07
00003870.png 876.7,424.37;1510.9,425.27;1408.07,873.45;923.93,861.88
00003903.png 879.5,422.23;1512.79,423.29;1410.37,866.33;925.38,857.16
00003937.png 881.23,418.05;1514.31,421.26;1411.33,862.41;927.39,851.59
00003970.png 882.45,412.64;1517.59,415.73;1411.35,861.91;927.08,848.01
00004004.png 884.33,408.68;1518.07,416.57;1412.07,854.76;928.5,839.24
00004037.png 883.66,406.36;1519.11,415.14;1409.3,851.65;926.8,834.54
00004070.png 883.74,403.71;1519.27,415.57;1407.17,847.32;926.03,830.76
00004104.png 884.99,400.32;1520.01,415.34;1406.63,845.29;925.94,825.19
00004137.png 887.09,400.86;1524.41,417.97;1406.8,849.68;926.15,825.26
00004170.png 887.89,399.85;1526.79,421.36;1408.49,852.6;925.27,824.18
00004204.png 889.27,403.55;1531.14,427.48;1408.52,855.56;925.66,827.48
00004237.png 892.6,407.57;1537.21,435.69;1411.41,858.92;926.03,829.35
00004270.png 895.44,411.07;1536.18,441.7;1407.69,863.75;924.96,829.25
00004304.png 895.11,413.43;1538.85,447.81;1409.92,865.01;925.26,831.37
00004337.png 895.03,416.55;1541.27,452.11;1408.08,868.46;923.95,833.86
00004371.png 894.34,419.13;1538.06,456.47;1406.44,870.6;921.58,833.3
00004404.png 893.72,421.07;1539.48,459.79;1404.97,873.1;920.27,835.45
00004437.png 893.46,423.21;1538.76,462.8;1401.88,872.98;919.3,833.55
00004471.png 890.69,422.88;1537.29,462.85;1402.37,870.66;918.15,833.75
00004504.png 889.03,421.46;1535.76,460.34;1397.99,871.19;915.19,831.88
00004537.png 885.69,419.43;1532.57,456.95;1397.43,866.44;913.33,829.99
00004571.png 883.96,417.34;1529.67,453.81;1394.56,863.2;913.01,827.19
00004604.png 881.76,413.29;1524.2,450.38;1391.99,857.28;909.76,823.78
00004637.png 879.07,408.64;1522.59,444.04;1390.75,853.16;908.52,820.77
00004671.png 875.62,403.02;1518.6,434.91;1389.22,848.56;906.75,817.04
00004704.png 875.69,398.74;1515.04,428.46;1386.83,844.98;906.17,815.05
00004738.png 874.67,394.47;1517.91,422.76;1390.61,842.83;908.27,813.74
00004771.png 876.35,390.6;1518.21,416.44;1393,841.28;909.99,811.51
00004804.png 876.11,385.94;1520.37,407.59;1395.59,839.3;911.87,812.57
00004838.png 877.17,383.82;1518.33,404.14;1397.52,835.47;914.9,810.83
00004871.png 879,377;1521.12,391.47;1402.91,832.55;918.63,810.44
00004904.png 879.95,372.47;1520.94,385.26;1405.52,827.79;921.68,807.55
00004938.png 882.4,366.47;1522.37,375.11;1410.04,821.36;925.58,808.08
00004971.png 881.55,359.96;1524.64,365.05;1415.03,822;926.09,807.98
00005005.png 882.24,353.46;1525,352.87;1417.78,817.31;930.15,806.52
00005038.png 882.53,349.05;1524.84,345.49;1420.27,814.33;932.49,803.67
00005071.png 881.82,342.49;1522.2,335.56;1421.02,809.12;934.24,801.46
00005105.png 878.53,332.13;1518.46,319.82;1423.97,800.4;934.97,798.22
00005138.png 875.82,325.19;1516.2,309.46;1425.14,797.22;935.26,796.41
00005171.png 871.49,318.53;1511.23,300.24;1423.94,792.3;934,794.42
00005205.png 868.27,313.6;1507.93,290.28;1425.42,789.19;933.81,793.56
00005238.png 863.82,308.72;1504.33,282.19;1424.98,786.32;932.56,794.09
00005271.png 860.33,304.52;1497.47,275.4;1423.48,782.3;931.35,793.36
00005305.png 856.45,300.95;1494.43,268.59;1422.52,781.8;929.57,793.94
00005338.png 850.34,295.54;1484.58,260.34;1419.85,779.97;927.88,795.06
00005372.png 846.57,296.01;1478.46,257.67;1416.79,779.27;925.81,796.63
00005405.png 841.81,293.1;1473.56,251.94;1416.07,780.78;922.32,800.48
00005438.png 838.48,294.44;1466.03,252.3;1410.87,781.14;919.89,801.69
00005472.png 833.71,294.64;1464.5,250.22;1411.76,787.16;916.61,809.78
00005505.png 831.69,296.56;1457.34,251.47;1407.49,788.88;915.11,813.21
00005538.png 825.69,297.57;1450.92,250.75;1404.14,795.71;910.18,820.79
00005572.png 822.91,297.47;1445.91,249.74;1401.21,800.12;906.92,825.11
00005605.png 820.31,297.59;1441.64,250.68;1398.6,801.88;903.92,828.63
00005638.png 818.37,296.89;1437.98,250.19;1396.68,805.16;900.39,832.05
00005672.png 816.64,293.89;1434.01,248.89;1392.95,806.49;899.35,834.12
00005705.png 815.46,292.25;1430.42,248.15;1392.64,807.93;897.02,834.99
00005739.png 814.38,288.94;1429.85,243.65;1390.71,809.92;892.17,837.03
00005772.png 811.66,284.9;1425.77,239.94;1386.21,810.91;890.54,837.41
00005805.png 809.56,281.58;1420.64,238.41;1382.71,811.66;887.86,838.08
00005839.png 808.31,281.55;1416.8,238.22;1380.45,814.02;884.71,839.4
00005872.png 804.6,282.2;1412.83,237.72;1377.77,816.32;881.18,844.19
00005905.png 800.28,282.26;1408.05,238.7;1375.23,821.59;878.27,849.21
00005939.png 795.18,284.59;1401.66,240.01;1371.74,824.07;874.41,854.65
00005972.png 789.27,293.55;1389.65,248.14;1364.44,833.15;868.83,864.31
00006006.png 787.25,298.05;1384.54,250.11;1362.5,839.24;866.89,872.34
00006039.png 782.68,302.24;1375.22,256.07;1357.94,847.56;861.66,882.28
00006072.png 778.38,305.28;1371.1,256.01;1354.85,850.15;859.56,887.75
00006106.png 773.41,304.65;1363.25,256.39;1350.35,852.18;853.05,889.47
00006139.png 770.55,301.93;1354.63,253.03;1344.9,850.68;849.82,887.62
00006172.png 769.09,296.21;1349.02,248.4;1340.14,844.41;848.42,882.82
00006206.png 767.81,286.29;1342.69,240.16;1333.6,839.42;844.1,876.15
00006239.png 769.22,277.78;1340.34,234;1329.95,834.17;842.28,869.5
00006272.png 770.95,271.81;1336.28,229.83;1326.34,830.62;840.39,862.81
00006306.png 772.82,263.52;1334.39,225.3;1322.88,826.99;837.77,857
00006339.png 774.92,256.18;1333.67,221.22;1320.18,822.31;835.97,849.3
00006373.png 777.16,252.56;1329.77,221.84;1315.6,821.46;833.89,845.49
00006406.png 779.81,251.05;1329.12,223.28;1313.2,826.58;831.49,845.99
00006439.png 783.18,252.53;1327.76,228.41;1311.55,829.51;832.07,848.33
00006473.png 785.9,256.58;1327.58,234.06;1310.64,836.32;830.4,852.03
00006506.png 787.79,258.83;1329.24,236.69;1312.56,843.24;830.09,860.12
00006539.png 793.04,265.35;1330.64,244.76;1313.85,851.67;833.41,863.93
00006573.png 798.01,268.85;1335.17,250.84;1318.37,859.29;834.57,871.24
00006606.png 803.22,270.95;1339.3,253.76;1320.98,863.39;838.28,872.55
00006639.png 811.12,269.65;1345.74,253.75;1328.28,869.92;843.35,878.09
00006673.png 815.5,268.65;1349.51,255.71;1331.12,871.73;845.5,877.86
00006706.png 820.8,267.19;1354.03,255.44;1333.89,874.25;848.15,879.76
00006740.png 825.24,262.84;1359.45,250.65;1341.01,876.81;851.17,880.91
00006773.png 827.48,258.65;1362.82,248.44;1345.17,878.37;851.26,882.26
00006806.png 830.06,256.29;1366.87,246.78;1348.4,880.52;852.9,883.35
00006840.png 831.88,254.3;1368.43,243.74;1351.24,882.32;853.65,884.62
00006873.png 835.78,246.8;1371.01,237.72;1356.76,881.33;855.37,883.71
00006906.png 836.69,244.4;1371.53,233.02;1357.82,879.34;855.86,881.53
00006940.png 834.57,237.83;1370.52,226.85;1361.95,878.1;853.39,881.08
00006973.png 833,234.28;1369.59,221.38;1361.44,873.98;853.82,880.47
00007007.png 829.65,231.22;1364.09,216.38;1358.98,867.87;852.35,874.94
00007040.png 825.75,226.57;1356.51,211.23;1354.74,860.9;849.62,868.35
00007073.png 819.84,220.7;1345.61,203.36;1347.28,849.2;844.93,859.09
00007107.png 817.08,219.57;1340.61,200.93;1343.34,843.35;844.12,856.34
00007140.png 815.57,218.45;1335.33,201.72;1342.46,841.55;841.93,856.79
00007173.png 814.34,221.88;1332.35,203.61;1340.37,843.67;841.63,857.63
00007207.png 815.95,224.34;1327.69,207.42;1338.65,844.01;842.46,855.34
00007240.png 814.32,225.82;1324.77,207.34;1334.76,840.71;841.56,855.02
00007273.png 816.78,223.66;1324.56,205.31;1334.98,837.23;840.59,852.56
00007307.png 816.71,220.77;1319.96,203.14;1333.59,834.06;840.58,850.03
00007340.png 818.12,222.24;1314.11,203.88;1329.26,828.09;840.45,841.1
00007374.png 815.67,220.69;1311.37,202.93;1327.11,824.57;838.85,840.41
00007407.png 814.51,220.41;1304.76,202.72;1321.48,818.05;838.84,833.85
00007440.png 813.61,216.96;1301.35,197.95;1318.37,812.73;839.03,828.19
00007474.png 811.67,212.95;1299.36,194.39;1318.29,806.62;838.57,824.39
00007507.png 814.35,213;1296.68,193.08;1318.36,802.05;840.63,820.02
00007540.png 815.6,212.72;1294.78,191.42;1318.82,798.38;842.5,815.67
00007574.png 817.18,212.6;1293.92,190.06;1319.53,793.65;843.42,812.09
00007607.png 816.64,212.76;1293.31,190.76;1319.49,794.47;842.57,814.19
00007640.png 818.05,216.5;1293,195.19;1320.58,798.06;843.26,816.29
00007674.png 819.39,220.46;1292.63,199.03;1321.2,801.16;842.69,820.66
00007707.png 820.43,223.58;1293.04,204.92;1321.92,808.4;841.37,824.76
00007741.png 822.55,234.41;1292,217.96;1319.43,817.01;840.5,832.09
00007774.png 824.59,243.46;1292.55,228.44;1319.79,826.54;838.02,840.22
00007807.png 827.81,254.12;1293.89,240.77;1320.17,837.73;838.77,849.69
00007841.png 831.73,263.83;1296.02,252.64;1321.08,849.38;839.48,857.06
00007874.png 836.6,275.8;1297.71,265.73;1323.24,855.76;840.14,863.63
00007907.png 839.87,281.82;1300.92,274.35;1326.78,869.2;841.13,875.27
00007941.png 844.18,290.57;1302.91,283.16;1329.91,874.72;843.57,880.59
00007974.png 847.63,292.9;1304.4,287.23;1333.75,882.05;846.85,888.31
00008008.png 850.45,295.07;1305.41,287;1334.15,874.23;850.08,879.53
00008041.png 851.95,290.68;1307.36,282.34;1338.7,869.95;851.33,875.32
00008074.png 854.51,286.9;1309.35,278.31;1340.84,862.17;855.22,869
00008108.png 856.75,282.71;1310.79,272.62;1342.92,855.41;857.31,862.06
00008141.png 858.01,275.56;1311.26,265.47;1345.4,847.36;860,854.83
00008174.png 858.04,263.34;1313.23,252.61;1348.13,835.1;860.46,841.97
00008208.png 858.67,255.85;1314.81,245.02;1348.63,827.41;861.48,835.6
00008241.png 859.66,248.81;1315.99,239.09;1352.08,821.61;862.03,828.19
00008274.png 861.68,244.13;1318.4,232.76;1354.42,817.02;863.94,823.23
00008308.png 862.57,239.64;1321.23,228.23;1358.64,816.13;865.79,821.23
00008341.png 863.8,236.38;1322.35,225.89;1361.12,811.83;865.31,818.34
00008375.png 863.49,233.38;1322.6,222.08;1363.31,807.95;866.06,817.56
00008408.png 862.9,231.39;1326.01,218.72;1368.46,810.48;864.74,817.65
00008441.png 862.53,228.67;1327.17,215.85;1371.2,807.97;864.85,817.55
00008475.png 861.3,225.36;1327.81,210.5;1375.37,806.92;864.87,815.72
00008508.png 861.24,221.39;1328.6,206.23;1377.77,800.59;865.2,811.7
00008541.png 861.8,217.98;1330.97,201.05;1383.02,794.74;868.03,808.48
00008575.png 861.33,214.47;1330.77,195.42;1386.03,788.1;870.42,803.59
00008608.png 860.75,204.5;1328.76,183.89;1390.03,772.17;872.55,793.35
00008641.png 862.33,197.04;1328.63,173.73;1393.75,761.63;877.8,784.11
00008675.png 862.73,191.33;1330.53,164.07;1397.94,750.4;880.26,775.5
00008708.png 865.28,183.08;1331.25,155.34;1402.38,739.03;885.77,764.06
00008742.png 867.05,176.84;1333.28,145.88;1406.17,726.74;890.29,755.59
00008775.png 866.47,171.58;1333,138.77;1407.86,717.16;892.24,746.76
00008808.png 866.75,168.3;1332.09,134.57;1408.49,710.32;892.33,741.15
00008842.png 867.23,169.09;1329.98,134.07;1408.76,704.39;894.34,737.91
00008875.png 867.22,170.22;1329.53,135.33;1410.11,704.51;893.71,739.9
00008908.png 869.08,176.21;1327.45,140.26;1406.49,704.77;893.73,734.78
00008942.png 868.69,182.65;1325.04,149.75;1403.08,708.83;890.49,738.38
00008975.png 868.74,187.79;1322.73,157.12;1400.13,713.76;887,741.11
00009009.png 868.26,192.74;1320.74,162.99;1396.73,715.96;883.91,742.36
00009042.png 866.52,195.92;1319.41,168.98;1394.9,721.22;878.7,744.52
00009075.png 866.91,201.84;1315.14,178.19;1387,721.69;873.67,742.41
00009109.png 867.42,205.49;1314.13,184.21;1383.39,722.53;871.71,740.95
00009142.png 868.81,208.49;1312.57,188.88;1381.59,722.9;871.74,739.79
00009175.png 870.1,210.15;1312.64,191.6;1380.21,721.87;870.99,737.16
00009209.png 871.55,208.71;1313.23,191.12;1379.65,717.82;870.17,733.11
00009242.png 872.43,204.04;1313.25,187.95;1381.39,712.34;871.74,727.6
00009275.png 873.54,196.77;1317.57,178.05;1384.73,702.56;873.16,718.16
00009309.png 874.19,191.76;1318.04,173.61;1388.2,697.01;874.37,713.15
00009342.png 874.64,187.85;1317.27,167.57;1388.04,688.87;876.17,707.12
00009376.png 872.19,182.81;1315.27,161.14;1386.75,682.46;875.64,701.67
00009409.png 869.42,179.42;1313.26,157.18;1385.92,675.5;874.92,695.69
00009442.png 871.05,175.76;1312.95,151.53;1386.35,669.63;877.42,691.98
00009476.png 871.39,169.34;1314.59,143.76;1390.69,663.51;879.67,684.95
00009509.png 872.4,156.4;1316.22,129.71;1392.91,647.6;882.17,671.82
00009542.png 872.64,149.42;1316.45,122.39;1394.92,640.01;883.28,667.87
00009576.png 872.84,140.51;1316.8,113.99;1396.45,630.61;884.21,655.74
00009609.png 873,134.89;1319.32,108.23;1399,626.42;884.59,651.82
00009642.png 875.33,131.7;1319.68,104.49;1398.68,616.13;887.11,643.09
00009676.png 876.5,125.42;1321.92,99.44;1402.85,610.92;887.88,639.16
00009709.png 880.43,118.49;1325.77,92.78;1407.71,603.16;890.49,629.09
00009743.png 882.38,116.75;1328.97,89.96;1409.84,598.69;890.43,624.16
00009776.png 882.43,113.14;1329.79,86.77;1413.21,597.31;889.2,623.11
00009809.png 884.1,111.26;1332.7,84.79;1413.02,590.4;889.99,613.85
00009843.png 885.92,109.55;1334.33,85.15;1416.3,588.91;889.12,610.97
00009876.png 888.53,110.39;1337.44,86.18;1419.29,587.45;890.37,608.58
00009909.png 888.93,111.82;1339.41,88.22;1422.66,588.41;890.12,608.73
00009943.png 889.53,117.69;1340.36,94.15;1425.63,593.15;889.08,615.32
00009976.png 890.7,125.17;1341.1,99.7;1425.63,592.49;890.48,614.41
00010010.png 891.95,127.52;1342.12,102.78;1429.69,593.87;891.19,615.42
00010043.png 893.74,131.43;1343.45,105.41;1432.45,593.51;892.15,616.83
00010076.png 893.45,134.29;1343.04,107.58;1433.2,592.39;893.13,616.19
00010110.png 893.51,138;1341.92,110.35;1434.31,593.6;893.21,616.46
00010143.png 892.32,144.34;1337.46,116.61;1431.02,588.63;892.97,615.21
00010176.png 890.55,147.6;1335.13,119.19;1429.49,587.76;891.44,615.23
00010210.png 889.2,151.67;1333.36,120.79;1430.25,589.85;891.39,619.93
00010243.png 887.57,153.74;1330.88,124.13;1428.44,587.07;890.69,616.61
00010276.png 886.79,155.49;1329.32,126.19;1427.83,585.11;890.54,616.82
00010310.png 886.84,160.21;1326.96,129.2;1427.07,584.67;890.33,616.43
00010343.png 886.16,163.5;1324.89,131.75;1427.43,584.34;890.68,616.99
00010377.png 885.17,168.17;1325.57,134.66;1429.14,586.49;889.75,623.06
00010410.png 886.01,170.72;1323.69,135.44;1428.61,582.16;891.88,616.94
00010443.png 886.81,172.41;1324.6,136.26;1431.44,581.59;894.04,619.47
00010477.png 888.64,173.16;1324.97,136.93;1433.16,578.78;897.03,618.95
00010510.png 890.18,173.65;1326.65,135.43;1436.75,574.82;899.24,613.56
00010543.png 891.67,174.21;1327.95,135.4;1437.91,569.45;901.75,610.21
00010577.png 895.5,174.87;1329.64,134.85;1442.23,566.71;907.17,607.86
00010610.png 900.38,175.61;1336.09,131.91;1452.57,561.19;913.76,605.39
00010643.png 902.94,171.97;1340.59,127.71;1459.85,558.32;917.8,604.64
00010677.png 906.14,172.19;1343.38,125.5;1464.06,549.91;922.45,599.63
00010710.png 910.38,168.78;1349.05,121.16;1472.34,546.77;927.32,595.48
00010744.png 915.96,169.45;1352.54,119.35;1477.9,540.21;933.63,591.98
00010777.png 919.73,167.88;1357.28,117.44;1485.24,537.17;939.79,590.03
00010810.png 925.21,165.94;1365.83,113.24;1498.17,535.27;945.42,590.25
00010844.png 930.27,165.43;1370.97,111.63;1502.45,527.94;951.82,584.88
00010877.png 935.92,164.37;1374.72,111.01;1507.85,525.12;955.87,582.3
00010910.png 939.93,163.31;1380.7,109.25;1515.05,522.05;962.12,579.02
00010944.png 945.02,163.12;1387.17,108.11;1521.54,521.42;965.83,580.55
00010977.png 949.95,164.87;1392.39,111.38;1529.88,526.5;972.19,584.01
00011011.png 954.11,170.01;1396.47,115.5;1533.01,526.78;973.73,583.55
00011044.png 961.48,179.03;1401.45,125.07;1537.55,531.55;981.48,586.09
00011077.png 965.42,185.55;1406.58,131.79;1544.3,538.53;985.11,595.59
00011111.png 969.9,192.43;1409.35,140.5;1544.36,542.48;987.69,596.17
00011144.png 974.11,200.06;1414.93,148.2;1551.28,552.55;990.36,603.81
00011177.png 978.26,207.61;1417.29,156.38;1553.48,556.34;994.07,608.43
00011211.png 981.32,213.07;1421.21,162.93;1556.97,560.32;997.65,613.73
00011244.png 986.27,223.51;1426.84,172.68;1563.97,569.86;1000.8,620.76
00011277.png 989.55,227.48;1430.58,177.06;1567.83,573.66;1003.23,623.95
00011311.png 992.9,230.58;1434.14,180.48;1571.75,576.01;1006.48,626.11
00011344.png 995.01,231.02;1437.45,182.5;1575.27,575.67;1008.65,626.02
00011378.png 998.69,232.87;1439.62,184.45;1577.48,576.5;1010.84,624.62
00011411.png 1000.59,233.74;1441.76,185.49;1580.38,575.93;1012.43,623.02
00011444.png 1001.04,233.31;1444.02,186.39;1583.78,579.1;1012.52,626.02
00011478.png 1003.17,234.12;1444.78,189.68;1584.42,582.72;1012.86,622.93
00011511.png 1003.28,235.9;1446.2,191.5;1582.85,584.01;1011.28,627.57
00011544.png 1003.32,238.67;1444.22,195.98;1579.08,581.54;1009.96,622.69
00011578.png 1004.4,240.89;1445.39,198.8;1579.75,584.23;1010.84,622.95
00011611.png 1003.98,241.93;1445.51,201.75;1579.46,585.65;1009.76,624.4
00011644.png 1004.95,244.29;1446.56,205.96;1579.87,588.38;1009.2,625.56
00011678.png 1004.71,246.34;1447.21,208.8;1580.98,594.05;1007.1,628.22
