00000066.png 542,252.33;1129.41,245.14;1146.17,845.59;528.99,855.68;
00003203.png 493.77,703.66;691.06,136.44;1273.17,338;1061.23,924.62;
00003236.png 497.38,711.32;687.26,139.53;1273.33,334.19;1066.05,924.78;
00003269.png 500.65,716.25;683.9,144.91;1270.22,332.26;1071.95,923.64;
00003303.png 504.25,722.95;679.72,150.17;1268.23,327.99;1080.66,923.64;
00003336.png 512.15,731.97;676.86,152.69;1272.87,320.16;1092.35,921.61;
00003370.png 517.37,737.17;675.44,155.96;1273.74,315.23;1102.25,918.89;
00003403.png 525.55,745.14;673.14,160.44;1274.24,310.12;1109.69,918.01;
00003436.png 529.04,752.01;668.8,165;1272.24,306.94;1117.99,917.44;
00003470.png 536.7,764.58;662.04,172.86;1271.96,299.29;1131.33,917.12;
00003503.png 414.87,1401.28;660.59,181;1270.81,297.16;1010.28,1531.62;
00003536.png 553.27,781.52;658.59,187.24;1270.67,294;1149.26,915.33;
00003570.png 566.06,796.54;658.3,201.87;1273.76,292.24;1167.46,918.37;
00003603.png 573.07,809.65;656.67,209.12;1274.42,290.29;1177.81,922.95;
00003636.png 581.51,817.25;655.42,218.94;1274.93,291.06;1188.6,920.45;
00003670.png 587.81,825.98;653.25,223.24;1274.33,286.1;1196.62,919.98;
00003703.png 597.82,836.62;651.06,232.24;1274.56,282.47;1210.47,919.4;
00003737.png 605.01,842.33;650,238.3;1274.63,278.77;1218.34,918.69;
00003770.png 609.72,847.68;648.28,242.33;1274.43,275.73;1226.04,913.44;
00003803.png 613.96,853.26;645.09,247.75;1273.06,272.94;1231.39,915.36;
00003837.png 618.15,862.79;641.21,255.24;1269.67,269.84;1239.25,915.01;
00003870.png 622.88,870.43;638.26,260.73;1265.79,269.71;1242.51,914.53;
00003903.png 626.48,874.54;635.74,268.29;1261.26,269.96;1244.45,910.27;
00003937.png 627.83,881.65;629.71,270.94;1256.18,265.28;1249.88,911.22;
00003970.png 628.98,886.71;623.07,274.26;1254.58,261.76;1253.67,910.34;
00004004.png 630.06,888.42;618.04,277.89;1249.59,257.99;1256.66,904.06;
00004037.png 630.54,894.52;612.72,280.01;1246.1,254.27;1259.62,904.08;
00004070.png 632.23,899.9;603.07,286.09;1232.21,248.28;1260.34,894.44;
00004104.png 633.34,902.15;596.26,288.29;1228.17,242.39;1262.41,887.81;
00004137.png 638.34,913.04;589.02,295.9;1221.1,239.66;1265.88,889.5;
00004170.png 640.34,917.45;582.25,302.54;1214.06,236.16;1269.42,886.71;
00004204.png 647.06,927.95;573.29,313.87;1204,230.92;1276.84,879.95;
00004237.png 651.91,934.74;567.73,324.23;1196.09,229.69;1280.18,876.83;
00004270.png 657.62,944.84;562.34,337.38;1185.75,233.07;1281.17,874.32;
00004304.png 665.07,959.72;554.68,351.87;1179.14,231.28;1290.71,875.2;
00004337.png 669.57,964.05;549.96,359.83;1172.48,228.87;1293.35,870.72;
00004371.png 675.48,967.93;547.6,367.3;1165.08,227.93;1296.32,865.91;
00004404.png 680.01,969.74;543.69,370.76;1159.27,223.66;1299.13,859.24;
00004437.png 686.85,969.96;537.78,372.21;1151.37,213.49;1302.24,848.59;
00004471.png 690.41,969.08;534.46,372.39;1146.34,206.7;1304.45,839.66;
00004504.png 691.12,966.74;528.8,372.97;1139.11,200.69;1303.6,831.49;
00004537.png 695.84,964.71;523.65,372.22;1132.67,190.1;1305.04,818.35;
00004571.png 697.77,962.78;520.11,374.05;1126.23,187.23;1304.88,811.14;
00004604.png 699.67,963.64;513.96,375.86;1119.21,181.25;1304.07,805.57;
00004637.png 699.65,964.82;509.72,380.03;1111.35,178.91;1299.17,798.89;
00004671.png 700.33,967.73;499.2,385;1099.49,175.2;1301.31,795.57;
00004704.png 699.99,970.91;493.27,390.84;1090.81,172.17;1300.45,790.86;
00004738.png 704.31,976.6;487.08,395.68;1084.36,170.68;1300.65,788.6;
00004771.png 706.48,978.66;482.2,402.34;1076.56,169.97;1300.43,784.2;
00004804.png 708.76,983.93;475.72,411.22;1066.62,169.05;1301.55,780.03;
00004838.png 709.55,989.24;472.94,418.87;1057.16,172.93;1294.89,775.94;
00004871.png 712.21,990.6;469.04,426.52;1049.98,174.16;1295.86,776.02;
00004904.png 711.06,999.73;461.09,437.82;1040.83,176.4;1297.57,776.42;
00004938.png 717.26,1003.85;458.8,440.74;1037.37,175.09;1300.28,773.59;
00004971.png 720.11,1005.21;455.29,443.75;1033.3,171.14;1300.79,768.63;
00005005.png 722.18,1008.3;451.23,448.6;1027.48,169.53;1301.53,766.31;
00005038.png 727.16,1013.51;447.09,456.24;1020.03,169.57;1302.87,764.25;
00005071.png 727.75,1013.92;444.28,461.29;1012.32,171.14;1298.05,756.06;
00005105.png 732.74,1018.34;442.99,466.26;1009.83,169.08;1303.29,755.31;
00005138.png 734.51,1021.25;439.97,473.24;1003.57,169.54;1302.28,753.88;
00005171.png 743,1022.56;437.65,479.4;997.08,166.86;1307.56,745.56;
00005205.png 747.32,1023.82;436.56,484.2;991.35,164.67;1306.98,739.69;
00005238.png 752.23,1023.19;435.77,488.88;985.88,163.46;1307.05,732.03;
00005271.png 762.39,1023.24;437.16,497.82;977.85,160.45;1308.19,721.7;
00005305.png 765.97,1027.99;432.09,502;974.29,157.2;1315.58,720.32;
00005338.png 773.89,1028.43;432.1,506.91;970.42,155.94;1317.9,714.21;
00005372.png 779.43,1029.71;435.75,514.52;966.26,158.68;1317.66,710.14;
00005405.png 785.3,1036.86;430.2,525.58;956.32,160.33;1319.47,707.47;
00005438.png 790.56,1037.62;430.43,531.07;952.78,160.53;1321.1,703.94;
00005472.png 798.01,1037.56;431.22,535.48;950.8,158.26;1326.17,698.37;
00005505.png 802.4,1039;431.21,540.93;945.5,158.96;1323,691.95;
00005538.png 811.08,1038.03;430.19,547.69;938.85,158;1327.44,685.02;
00005572.png 813.71,1040.9;431.79,552.05;933.05,159.39;1322.61,679.45;
00005605.png 817.56,1043.07;426.75,557.8;926.89,155.52;1327.04,677.09;
00005638.png 824.11,1042.44;423.58,566.36;916.91,155.1;1326.74,669.31;
00005672.png 824.85,1042.88;421.46,571.71;907.6,157.79;1323.74,665.14;
00005705.png 829.43,1045.04;418.66,579.04;902.23,157.06;1322.53,660.75;
00005739.png 830.54,1045.85;414.94,584.99;892.21,160.46;1316.08,656.84;
00005772.png 834.56,1043.68;411.3,593.24;880.83,157.4;1315.19,647.27;
00005805.png 839.45,1042.1;409.36,595.55;874.54,155.11;1313.38,639.23;
00005839.png 841.3,1039.22;405.79,597.76;865.93,152.55;1310.77,632.21;
00005872.png 840.57,1037.86;404.76,601.4;856.96,151.25;1306.58,625.2;
00005905.png 846.16,1031.44;400.41,603.92;845.49,146.21;1302.42,612.99;
00005939.png 847.31,1028.37;396.55,608.13;838.75,144.86;1296.64,603.82;
00005972.png 848.51,1029.82;395.91,612.47;830.3,146.09;1293.37,603.07;
00006006.png 851.84,1031.2;396,620.84;820.55,153.18;1287.28,598.48;
00006039.png 852.97,1032.8;392.18,627.3;813.92,151.06;1290.94,595.83;
00006072.png 860.2,1034.04;390.61,633.67;808.1,153.87;1287.81,592.87;
00006106.png 863.56,1038.05;389.82,642.24;802.44,157.2;1289.63,590.83;
00006139.png 869.05,1041.66;388.17,654.14;794.39,160.97;1286.73,588.29;
00006172.png 871.06,1047.48;388.16,663.94;787.2,168.48;1283.05,589.54;
00006206.png 875.06,1051.17;387.03,675.09;781.45,175.24;1281.71,588.87;
00006239.png 877.44,1053.09;389.93,683.17;776.1,180.14;1278.21,587.7;
00006272.png 883.64,1057.06;387.68,694.93;767.27,188.03;1278.04,587.45;
00006306.png 888.59,1056.56;390.03,698.84;762.08,189.34;1274.46,581.9;
00006339.png 890.9,1056.91;390.88,702.93;756.87,191.71;1271.66,579.43;
00006373.png 895.43,1055.1;393.47,708.31;752.68,194.08;1268.54,573;
00006406.png 899.42,1051.72;392.12,711.04;745.77,194.34;1266.74,566.96;
00006439.png 902.56,1050.17;393.42,714.33;741.73,190.54;1266.63,561.78;
00006473.png 906.47,1051.58;391.71,720.83;736.08,192.57;1266.86,559.72;
00006506.png 912.93,1048.45;392.27,727.17;730.34,197.07;1263.26,553.91;
00006539.png 914.45,1053.83;393.33,734.7;725.74,198.69;1263.44,552.84;
00006573.png 918.11,1055.89;393.1,740.69;722.09,202.65;1266.54,551.52;
00006606.png 924.49,1050.73;397.98,743.42;720.08,207.18;1261.44,546.35;
00006639.png 930.26,1044.92;400.18,745;714.5,203.76;1260.93,536.77;
00006673.png 933.36,1040.56;398.26,744.55;709.33,195.74;1261.6,527.29;
00006706.png 938.54,1031.34;401.1,742.2;705.31,191.47;1259.63,515.55;
00006740.png 945.59,1016.89;404.79,737.98;699.56,182.31;1259.65,499.99;
00006773.png 950.7,1005.6;411,732.95;695.63,177.12;1255.99,487.3;
00006806.png 957.74,998.33;411.75,730.63;692.26,168.47;1261.41,474.74;
00006840.png 963.9,988.53;415.67,727.97;690.41,165.47;1258.7,461.97;
00006873.png 971.7,976.99;421.37,727.76;682.94,161.75;1256.4,448.05;
00006906.png 978.29,975.28;423.25,731.7;678.35,156.38;1259.49,440.81;
00006940.png 984.74,967.89;428.09,731.5;674.9,153.68;1259.36,430.59;
00006973.png 995.12,960.37;432.15,736.3;667.58,155.24;1258.14,418.74;
00007007.png 999.71,957.54;435.16,740.59;663.64,155.74;1257.08,413.27;
00007040.png 1005.38,955.29;437.66,745.31;659.06,157.8;1255.6,407.36;
00007073.png 1010.68,954.74;443.47,750.93;654.21,164.26;1251.16,403.74;
00007107.png 1018.41,957.98;445.28,764.85;647.78,170.02;1250.92,401.39;
00007140.png 1022.89,961.17;448.55,772.59;643.7,179.24;1249.01,401.89;
00007173.png 1022.1,961.7;450.06,781.25;639.39,184.77;1248.6,400.27;
00007207.png 1030.57,960.57;451.94,785.68;634.87,186.69;1246.21,397.58;
00007240.png 1035.85,953.97;457.43,790.55;628.22,192.05;1238.64,391.05;
00007273.png 1040.06,952.98;457.01,795.43;622.29,192.12;1236.05,385.19;
00007307.png 1042.81,950.02;460.7,800.17;617.71,196.53;1234.62,381.42;
00007340.png 1045.12,948.63;461.07,806.86;608.97,198.12;1231.74,374.29;
00007374.png 1050.61,945.76;463.65,810.47;604.22,201.98;1227.23,370.95;
00007407.png 1054.45,942.06;467.67,812.11;600.23,203.55;1223.15,365.41;
00007440.png 1060.56,938.86;469.38,818.86;596.68,207.39;1220.63,361.36;
00007474.png 1065.73,938.5;475.24,826.25;589.37,212.28;1218.72,356.3;
00007507.png 1070.62,934.5;478.62,832.33;584.69,217.88;1216.32,352.13;
00007540.png 1075.13,926.83;483.34,834.04;581.45,221.48;1210.63,346.13;
00007574.png 1079.4,925.27;485.64,838;576.36,221.2;1206.53,340.47;
00007607.png 1085.64,920.36;488.94,844.44;567.45,223.18;1206.01,331.18;
00007640.png 1090.03,916.44;492.03,846.94;563.13,226.82;1202.29,326.69;
00007674.png 1093.72,913.64;495.14,851.69;558.15,230.11;1198.2,322.6;
00007707.png 1099.84,910.05;498.58,859.93;551.06,235.41;1194.36,315.31;
00007741.png 1103.41,905.12;501.16,862.64;545.82,238.65;1191.23,312.2;
00007774.png 1103.59,906.42;504.61,868.14;541.32,243.01;1187.72,308.13;
00007807.png 1107.18,907.15;506.8,877.61;535.68,251.67;1183.26,308.63;
00007841.png 1117.03,906.22;511.3,887.95;528.45,261.15;1179.89,307.03;
00007874.png 1117.03,908.62;515.54,894.76;525.18,268.07;1176.9,306.82;
00007907.png 1126.82,908.82;520.35,901.98;524.23,273.11;1175.05,305.26;
00007941.png 1128.57,908.6;527.49,906.85;524.28,285.42;1169.39,310.45;
00007974.png 1134.43,911.45;530.02,921.31;518.1,295.14;1170.7,308.29;
00008008.png 1139.12,913.26;534.01,929.01;516.21,304.04;1166.12,311.89;
00008041.png 1144.26,916.71;537.3,938.3;513.57,311.87;1166.68,313.12;
00008074.png 1150.83,924.25;544.59,951.5;512.59,325.62;1164.1,319.84;
00008108.png 1154.05,929.91;548.74,960.89;513.15,334.92;1164.09,325.38;
00008141.png 1157.92,934.35;551.68,969.75;511.21,343.82;1163.01,328.27;
00008174.png 1161.58,937.07;554.56,977.5;511.92,353.13;1163.28,332.3;
00008208.png 1753.57,919.81;1165.69,944.22;1162.1,337.8;1795.72,321.18;
00008241.png 1754.15,923.11;1165.15,951.01;1160.23,342.98;1793.8,323.61;
00008274.png 1162.88,955.68;552.93,1003.98;502.01,378.99;1156.28,348.54;
00008308.png 1160.95,961.16;550.58,1008.59;501.57,380.78;1154.68,353.4;
00008341.png 1159.19,966.05;548.02,1010.47;502.51,383.74;1154.8,360.74;
00008375.png 1158.64,968.48;547.31,1008.77;505.88,381.32;1155.49,361.82;
00008408.png 1156.25,973.02;544.22,1006.79;507.49,378.33;1159.4,364.63;
00008441.png 1150.01,971.68;541.92,993.11;515.61,370.01;1160.5,367.7;
00008475.png 1146.42,969.81;533.53,989.28;515.08,359.84;1167.93,363.4;
00008508.png 1140.63,970.11;528.05,981.6;518.14,351.58;1170.56,364.17;
00008541.png 1135.04,971.23;524.55,972.81;523.17,344.94;1172.85,365.98;
00008575.png 1127.3,974.49;519.44,960.75;532.65,336.12;1175.74,371.98;
00008608.png 1124.88,976.22;514.86,956.2;537.43,328.19;1184.64,372.75;
00008641.png 1122.15,977.95;511.96,947.96;543.78,322.18;1188.15,376.72;
00008675.png 1119.14,977.37;510.42,938.98;550.52,314.48;1194.76,377.54;
00008708.png 1110.28,981.03;505.92,929.28;561.37,306.05;1200.78,385.57;
00008742.png 1106.15,990.62;501.55,927.57;566.9,304.41;1205.17,393.19;
00008775.png 1102.32,994.38;497.72,921.96;573.96,303.11;1210.42,400.78;
00008808.png 1094.38,998.56;495.27,911.13;585.84,296.4;1217.18,408.85;
00008842.png 1090.78,998.97;491.99,903.47;593.79,288.34;1223.56,411.35;
00008875.png 1085.09,1001.27;488.75,893.2;601.63,281.79;1228,415.3;
00008908.png 1077.84,1004.43;486.2,884.49;608.56,275;1230.79,419.63;
00008942.png 1064.13,1003.98;483.57,867.73;619.08,269.64;1231.03,425.98;
00008975.png 1062.32,1007.73;475.61,864.35;625.18,260.34;1237.98,431.27;
00009009.png 1055.88,1009.09;473.06,856.98;630.71,256.54;1240.2,435.43;
00009042.png 1045.13,1013.54;465.19,844.69;639.87,248.18;1246.92,443.99;
00009075.png 1038.44,1014.65;461.3,838.94;645.29,244.93;1246.78,450.12;
00009109.png 1032.51,1015.43;459.18,829.35;651.21,239.11;1249.77,453.98;
00009142.png 1025.87,1015.9;456.08,820.85;656.92,234.52;1252.73,458.1;
00009175.png 1015.75,1018.45;449.53,811.58;664.99,228.38;1252.98,464.05;
00009209.png 1009.59,1019.48;446.98,802.51;671.93,225.27;1256.27,471.81;
00009242.png 1003.76,1019.14;445.05,795.26;680.2,221.33;1258.36,476.31;
00009275.png 996.06,1021.75;441.04,786.76;685.29,217.1;1260.94,482.13;
00009309.png 983.71,1021.7;437.32,773.82;695.49,211.02;1262.22,488.37;
00009342.png 975.12,1016.89;435.58,761.71;700.33,205.44;1261.78,490.92;
00009376.png 970.35,1016.19;431.31,750.92;707.1,197.27;1265.17,493.85;
00009409.png 956.52,1014.29;424.32,736.04;714.75,186.97;1267.92,496.56;
00009442.png 954.1,1009.66;424.52,724.18;722.46,179.78;1268.97,497.85;
00009476.png 947.56,1008.22;420.49,713.91;726.52,174.18;1270.75,500.6;
00009509.png 939.85,1005.31;420.64,704.86;731.94,171.74;1268.81,504.29;
00009542.png 929.61,1002.71;417.65,690.65;742.13,161.97;1272.4,506.84;
00009576.png 925.8,1000.26;416.94,682.1;748.24,158.02;1274.47,510.6;
00009609.png 921.46,997.45;417.18,672.27;753.83,154.63;1273.96,513.48;
00009642.png 914.51,996.35;416.34,664.42;761.26,150.13;1276.19,516.14;
00009676.png 906.81,995.24;415.6,652.24;771.17,145.72;1278.78,522.1;
00009709.png 905.91,992.79;417.85,643.1;779.73,140.31;1283.64,524.54;
00009743.png 904.21,989.91;418.8,634.39;789.44,135.91;1287.16,526.57;
00009776.png 900.29,989.5;421.89,624.64;801.92,134.95;1292.78,535.78;
00009809.png 896.81,984.48;427.24,612.82;811.63,127.08;1293.3,533.23;
00009843.png 893.17,978.99;428.86,602.11;821.5,120.52;1302.08,533.91;
00009876.png 891.23,976.51;432.61,592.23;830.28,119.45;1298.17,536.1;
00009909.png 886.96,973.54;431.39,581.02;837.41,111.85;1304.95,539.32;
00009943.png 881.33,971.47;431.97,575.81;843.33,111.22;1304.44,542.33;
00009976.png 879.68,970.29;435.89,571.32;851.07,111.98;1305.35,546.78;
00010010.png 878.58,971.94;438,567.43;858.97,111.01;1311.29,552.55;
00010043.png 878.21,968.6;445.13,560.55;872.95,111.95;1316.91,558.03;
00010076.png 880.47,967.89;449.35,553.69;880.18,109.44;1320.15,559.08;
00010110.png 876.91,966.14;453.55,548.23;887.74,108.32;1323.26,562.31;
00010143.png 877.57,961.91;457.5,539.35;897.96,104.53;1326.7,564.12;
00010176.png 874.44,961.87;460.88,532.82;905.16,104.42;1326.49,566.68;
00010210.png 871.17,959.56;464.14,527.31;911.1,103.16;1331.55,570.2;
00010243.png 869.31,960.8;466.72,525.06;917.56,106.56;1331.82,577.67;
00010276.png 868.67,965.01;470.46,521.46;929.46,110.21;1336.01,587.48;
00010310.png 867.18,964.04;476.03,517.22;938.58,110.55;1340.8,592.53;
00010343.png 868.09,963.67;482,512.3;949.66,111.66;1345.42,599.04;
00010377.png 864.72,964.47;484.71,507.18;957.73,112.87;1346.16,604;
00010410.png 860.15,959.52;492.12,494.82;972.84,111.87;1347.99,609.56;
00010443.png 858.83,955.22;498,486.8;984.16,109.65;1354.5,614.9;
00010477.png 854.07,950.62;502.82,476.55;994.51,107.46;1356.91,618.83;
00010510.png 845.63,946.72;506.28,461.52;1007.45,106.07;1356.4,626.24;
00010543.png 841.27,939.52;511.06,450.46;1017.09,107.14;1352.58,627.26;
00010577.png 837.79,935.04;513.89,438.67;1028.2,99.82;1359.65,632.43;
00010610.png 835.94,929.97;521.36,427.34;1040.18,98.69;1361.66,636.58;
00010643.png 829.33,923.54;527.53,413.29;1053.36,99.66;1359.76,642.82;
00010677.png 823.22,921.67;531.19,406.24;1065.45,98.44;1363.16,650.38;
00010710.png 818.14,922.19;533.75,401.5;1072.22,101.03;1362.97,657.83;
00010744.png 817.82,919.87;542.94,396.84;1080.46,107.16;1359.21,664.53;
00010777.png 812.74,918.77;547.56,389.7;1095.72,109.58;1365.23,676.31;
00010810.png 811.61,916;554.58,384.01;1104.02,114.96;1363.61,679.82;
00010844.png 809.74,915.45;560.62,378.85;1114.72,115.68;1367.85,687.44;
00010877.png 804.58,915.53;567.04,373.45;1125.02,119.54;1367.62,696.37;
00010910.png 803.21,913.09;569.9,369.41;1132.9,120.75;1370.15,700.54;
00010944.png 800,911.89;574.44,364.25;1140.2,123.1;1371.56,706.68;
00010977.png 801.25,909.78;582.61,360.48;1146.63,129.02;1369.25,708.79;
00011011.png 799.41,908.75;587.63,355.42;1158.44,130.58;1372.18,717.63;
00011044.png 798.36,906.61;595.59,351.62;1166.6,133.16;1374.49,719.45;
00011077.png 799.76,905.57;600.36,348.59;1174.2,135.34;1377.73,726.51;
00011111.png 798.59,908.27;605.87,346.28;1185.94,140.24;1381.35,736.95;
00011144.png 797.12,904.37;612.59,341.19;1190.86,143.32;1381.01,737.93;
00011177.png 795.81,903.98;615.91,338.52;1198.83,143.09;1383.95,743.52;
00011211.png 794.91,901.91;619.44,333.73;1205.65,142.58;1385.31,747.68;
00011244.png 791.7,898.52;625.61,327.56;1213.56,147.91;1383.99,751.45;
00011277.png 789.66,895.45;631.38,324.86;1220,148.79;1380.68,752.73;
00011311.png 787.58,891.3;631.66,317.03;1225.78,148.87;1380.97,755.02;
00011344.png 783.08,886.98;635.37,311.16;1231.78,148.35;1382.32,759.63;
00011378.png 780.33,880.31;641.1,301.7;1240.82,149.51;1379.28,763.23;
00011411.png 775.53,878.68;644.31,297.84;1245.39,152.16;1377.05,768.23;
00011444.png 770.87,876.92;646.69,292.22;1250.81,154.73;1374.99,774.02;
00011478.png 767.15,872.5;652.93,286.16;1260.32,159.96;1372.23,780.92;
