00000033.png 674.95,363;1161.9,350.14;1172.63,663.44;685.01,679
00001401.png 738.65,485.99;1075.54,470.4;1085.5,686.94;748.61,703.57
00001434.png 736,488.03;1067.39,473.74;1078.55,688.1;745.87,702.83
00001468.png 736.49,490.63;1063.57,476;1073.38,685.94;745.45,702.29
00001501.png 738.45,489.62;1060.83,475.76;1069.84,681.9;748.32,697.92
00001534.png 738.02,490.62;1059.13,477.93;1068.35,680.93;748.92,697
00001568.png 742.88,491.73;1056.16,478;1066.17,679.76;750.67,695.51
00001601.png 742.15,494.17;1052.94,479.88;1064.1,679.95;750.74,695.54
00001634.png 742.86,497.4;1049.79,483.33;1059.98,680.37;751.99,695.53
00001668.png 745.33,500.6;1047.43,486.53;1057.09,679.24;754.99,697.11
00001701.png 746.46,504.84;1044.89,489.6;1056.22,681.88;756.42,697.81
00001735.png 748.57,508.28;1042.62,493.56;1052.92,683.24;757.58,699.69
00001768.png 750.23,514.74;1040.07,498.8;1051.75,686.58;759.5,701.82
00001801.png 752.91,520.49;1037.84,505.88;1049.11,689.93;762.03,705.63
00001835.png 756.29,532.55;1035.48,516.61;1046.82,697.46;765.22,714.44
00001868.png 754.99,540.75;1030.66,525.19;1042.73,701.12;765.72,718.71
00001901.png 757.86,549.31;1028.83,533.75;1040.23,708.33;765.9,725.92
00001935.png 759.39,556.22;1026.83,540.2;1037.56,712.99;768.41,730.75
00001968.png 760.69,563.27;1025.99,547.18;1037.22,717.59;771.09,735.47
00002002.png 764.1,566.9;1026.13,550.96;1036.77,717.95;774.06,735.97
00002035.png 766.3,573.41;1024.29,557.39;1037.6,724.98;777.46,742.74
00002068.png 768.45,578.17;1025.58,560.84;1038.03,726.27;777.89,744.89
00002102.png 770.53,583.18;1025.41,566.26;1037.14,731.2;779.75,749.8
00002135.png 770.15,586.93;1023.69,572.72;1037.77,736.47;780.88,754.74
00002168.png 770.66,595.16;1021.35,578.53;1033.37,741.36;779.93,757.64
00002202.png 771.27,600.24;1020.59,582.91;1032.95,744.01;780.54,763.07
00002235.png 771.45,605.97;1019.4,588.31;1032.1,749.75;782.44,767.77
00002268.png 773.79,615.63;1019.01,598.31;1032.42,755.29;785.6,775.86
00002302.png 775.7,621.4;1018.49,603.04;1031.2,758.59;787.72,779.38
00002335.png 777.81,626.27;1017.93,607.33;1032.68,762.96;789.88,782.58
00002369.png 779.33,631.8;1018,613.44;1032.08,766.92;791.35,787.01
00002402.png 781.64,637.18;1018.6,617.26;1032.76,770.13;791.94,791.35
00002435.png 780.61,641.16;1016.2,621.41;1030.62,774.55;792.29,794.64
00002469.png 779.6,645.92;1014.41,625.57;1029,777.14;791.62,798.79
00002502.png 779.51,649.81;1011.85,630.32;1026.87,780.81;791.85,801.38
00002535.png 778.34,652.74;1008.9,632.44;1023.16,779.61;790.92,802.45
00002569.png 777.56,654.78;1005.61,634.48;1019.86,780.81;790.14,804.49
00002602.png 776.79,657.63;1002.59,636.84;1017.61,783.65;790.1,805.3
00002635.png 775.83,660.11;999.17,639.42;1013.77,784.88;787.32,806.2
00002669.png 773.77,661.22;997.85,640;1011.59,785.94;786.22,807.16
00002702.png 773.04,665.16;994.88,644.02;1008.28,786.76;784.03,809.63
00002736.png 772.18,668.07;992.82,647.72;1006.13,790.63;782.91,812.72
00002769.png 769.65,669.6;990.15,650.99;1003.57,793.09;781.39,815.08
00002802.png 771.78,673.26;989.1,652.96;1002.51,796.41;779.83,815.36
00002836.png 768.9,672.95;987.56,653.33;1001.64,795.43;780.97,816.4
00002869.png 769.73,673.02;987.46,653.62;1000.16,793.93;780.72,816.1
00002902.png 768.86,673.38;986.17,655.11;1002.27,794.51;780.93,814.81
00002936.png 771.42,673.13;987.08,653.73;999.1,794.04;783.09,815.17
00002969.png 771.37,675.02;986.01,655.62;998.37,794.54;782.7,813.6
00003003.png 771.65,675.1;985.61,655.47;998.36,794.59;783.72,813.54
00003036.png 773.09,677.16;983.94,658.46;998.71,795.65;783.39,816.44
00003069.png 773.9,677.1;985.18,658.83;999.26,795.51;783.29,817.17
00003103.png 775.13,676.34;987.7,657.98;999.72,796.22;786.12,817
00003136.png 777.9,676.63;989.44,658.27;999.74,793.73;788.54,814.86
00003169.png 778.99,675.16;992.25,656.11;1004.95,794;791.35,814.78
00003203.png 779.63,674.05;994.26,655.44;1006,793.31;790.53,815.31
00003236.png 779.1,672.14;992.45,653.08;1006.61,792.53;789.83,811.15
00003269.png 778.67,668.82;994.68,649.42;1008.76,789.04;791.37,809.83
00003303.png 779.3,667.18;994.96,647.09;1006.98,787.4;790.29,806.8
00003336.png 779.05,661.51;997.55,642.45;1009.57,783.2;790.21,804.42
00003370.png 779.22,655.99;999.21,637.72;1011.96,778.46;791.29,798.08
00003403.png 779.11,649.96;999.58,631.95;1012.97,774.34;790.44,793.74
00003436.png 779.8,645.14;1002.33,626.09;1014.7,769.86;791.48,789.27
00003470.png 779.4,638.44;1005.02,619.39;1017.73,764.89;790.39,784.3
00003503.png 780.2,631.38;1006.17,613.01;1020.25,759.56;790.51,779.66
00003536.png 780.63,622.88;1010.35,604.27;1022.93,752.29;792.36,772.59
00003570.png 781.52,613.33;1011.96,594.62;1026.38,743.6;793.89,763.69
00003603.png 787.31,600.1;1018.72,580.65;1031.29,731.21;795.7,751.51
00003636.png 787.74,587.46;1021.66,568.85;1035.07,719.41;796.13,741.4
00003670.png 788.18,575.61;1025.48,557.25;1037.84,708.99;800.54,729.43
00003703.png 791.66,564.03;1029.6,546.48;1042.65,699.46;803.15,719.21
00003737.png 794.07,552.44;1035.75,533.38;1048.63,689.72;806.95,709.21
00003770.png 796.65,541.42;1041.16,523.05;1053.52,680.34;809.35,700.78
00003803.png 800.79,532.49;1046.67,513.43;1059.72,672.46;813.15,691.86
00003837.png 802.69,523.45;1052.95,504.83;1065.83,662.89;816.85,683.25
00003870.png 804.66,512.86;1055.76,494.62;1068.81,655.03;818.46,675.81
00003903.png 807.62,506.86;1060.83,486.56;1074.24,648.11;820.2,667.56
00003937.png 808.71,495.38;1063.59,475.89;1077,638.83;821.31,659.19
00003970.png 804.92,489.28;1064.2,469.36;1077.5,635.65;817.37,656.01
00004004.png 802.84,482.8;1065.21,461.67;1077.57,630.74;816.92,651.18
00004037.png 797.74,472.32;1064.57,451.19;1078.65,623.03;812.5,643.81
00004070.png 796.43,467.3;1064.98,446.86;1078.72,617.66;810.51,641.22
00004104.png 793.32,464.02;1066.68,440.8;1080.08,616.8;807.06,638.97
00004137.png 790.66,460.09;1066.46,438.43;1080.41,614.91;806.22,637.64
00004170.png 789.03,456.46;1068.57,434.29;1083.68,612.71;805.17,634.54
00004204.png 788.14,453.86;1069.4,431.69;1083.48,612.53;803.25,635.75
00004237.png 786.21,453.35;1069.52,431.69;1083.47,613.04;801.77,637.4
00004270.png 784.72,453.6;1072.76,430.64;1086.93,615.99;798.89,639.38
00004304.png 782.73,453.42;1073.16,429.74;1088.98,614.6;797.08,641.13
00004337.png 778.99,450.54;1074.11,428.35;1090.21,616.19;795.09,641.63
00004371.png 774.07,449.58;1073.86,426.35;1090.49,617.8;790.28,643.18
00004404.png 771.7,449.45;1073.56,425.55;1088.33,619.22;787.16,644.85
00004437.png 766.79,446.1;1076.21,422.89;1091.32,620.37;782.93,646
00004471.png 760.63,443.72;1075.61,420.44;1093.32,622.9;777.27,647.26
00004504.png 757.26,443.14;1077.93,418.89;1093.81,625.03;773.15,648.85
00004537.png 752.65,441.54;1079.97,418.53;1096.55,627.53;769.28,653.17
00004571.png 749.78,438.38;1082.46,416.05;1097.89,627.17;767.89,653.56
00004604.png 748.99,435.14;1085.69,413.48;1101.12,628.66;763.74,654.37
00004637.png 746.78,433.24;1088.18,411.59;1105.62,630.15;763.55,654.51
00004671.png 746.47,431.28;1093.66,410.15;1107.74,632.57;762.61,656.82
00004704.png 748.68,429.34;1098.71,410.31;1112.52,634.39;761.59,656.05
00004738.png 746.16,429.08;1101.43,408.99;1117.24,634.92;761.12,657.44
00004771.png 745.92,425.96;1107.19,406.21;1120.59,637.64;760.35,659.81
00004804.png 745.48,423.34;1112.59,404.63;1125.64,639.87;759.22,659.97
00004838.png 744.7,421.43;1117.65,402.37;1131.05,641.77;758.44,661.52
00004871.png 744.87,420.49;1120.48,402.73;1136.41,642.94;757.45,663.24
00004904.png 744.75,420.09;1128.41,403.18;1140.48,646.77;757.49,667.07
00004938.png 748.56,420.63;1139.47,404.77;1148.91,654.29;760.09,671.21
00004971.png 750.49,421.65;1142.19,404.74;1155.61,658.49;759.88,676.08
00005005.png 748.93,421.3;1147.97,406.06;1159.65,661.74;760.6,679.76
00005038.png 746.85,418.96;1152.64,404.75;1164.71,663.23;758.25,681.5
00005071.png 748.01,419.4;1157.83,404.52;1169.23,668.41;757.4,684.65
00005105.png 747.2,418.08;1163.06,403.7;1173.96,670.14;754.75,686.21
00005138.png 743.08,414.22;1167.88,400.36;1178.19,674.41;753.73,689.65
00005171.png 741.69,411.31;1171.49,398.86;1181.15,676.02;750.27,691.18
00005205.png 737.74,409.5;1176.03,396.07;1187.62,677.13;747.62,692.72
00005238.png 734.79,405.48;1178.81,392.62;1191.55,677.5;744.18,694.41
00005271.png 733.11,401.49;1185.02,388.8;1197.59,680.61;744.85,695.84
00005305.png 729.23,397.24;1191.36,383.7;1204.11,681.43;739.96,697
00005338.png 728.33,391.92;1199.85,377.71;1210.59,680.86;737.72,697.77
00005372.png 725.37,383.7;1211.19,368.9;1222.95,680.33;735.66,698.09
00005405.png 722.56,375.83;1215.86,365.51;1232.24,679.39;736.89,695.91
00005438.png 718.06,375.07;1223.2,359.21;1238.92,685.91;729.58,701.77
00005472.png 715.98,372.54;1231.6,357.74;1246.27,689.73;726.46,708.76
00005505.png 711.77,373.48;1235.78,356.56;1250.03,692.35;722.67,714.34
00005538.png 705.36,372.07;1241.94,356;1254.66,698.52;718.08,719.31
00005572.png 700.23,370.67;1245.53,351.72;1260.96,702.91;712.97,723.89
00005605.png 693.12,366.8;1246.76,348.69;1264.2,705.97;705.48,727.63
00005638.png 686.78,365.26;1254.02,348.08;1267.12,708.88;699.88,732.67
00005672.png 680.74,365.09;1257.56,344.79;1274.33,716.95;694.99,739.79
00005705.png 673.5,363;1262.9,341.86;1278.83,719.94;687.75,745.32
00005739.png 666.74,360.2;1266.2,339.06;1284.02,723.91;683.93,749.84
00005772.png 660.68,357.17;1275.07,334.84;1293.18,728.66;676.78,755.72
00005805.png 655.26,350.87;1285.11,327.61;1278.83,735.72;670.98,763.21
00005839.png 651.22,345.39;1298.48,321.71;1315.25,735.32;667.99,764.07
00005872.png 646.74,341.98;1307.41,316.6;1325.02,739.52;665.19,768.28
00005905.png 643.5,338.13;1314.23,312.76;1336.03,744.98;661.94,772.89
00005939.png 637.36,334.75;1321.71,308.31;1340.58,749.2;656.22,777.75
00005972.png 626.75,330.5;1328.33,306.14;1347.78,755.44;645.53,786.57
00006006.png 613.79,328.59;1331.47,304.06;1352.43,763.34;634.75,795.48
00006039.png 601.79,326.27;1340.72,301.49;1355.05,772.31;624.31,801.22
00006072.png 584.6,319.78;1338.33,294.41;1360.97,779.91;603.05,809.52
00006106.png 571.33,313.78;1343.72,288.41;1360.49,786.39;590.2,817.05
00006139.png 561.8,305.92;1347.82,281.6;1369.82,789.1;580.67,817.64
00006172.png 548.74,292.82;1357.02,269.03;1376.67,788.42;567.08,817.5
00006206.png 538.17,280.87;1360.87,258.67;1379.73,787.31;555.99,819.03
00006239.png 523.63,263.22;1372.1,242.08;1392.22,786.79;542.07,818.08
00006272.png 513.77,251.93;1387.8,233.35;1406.23,790.9;534.24,817.74
00006306.png 513.97,244.97;1404.03,222.64;1422.14,795.77;531.41,824.19
00006339.png 515,237.06;1425.47,215.59;1444.13,800.79;534.46,828.28
00006373.png 519.55,226.49;1451.24,206.4;1466.96,805.88;536.32,833.37
00006406.png 520.16,219.65;1471.76,199.56;1490.62,811.73;537.98,841.33
00006439.png 518.82,217.07;1494.52,194.87;1510.24,821.84;538.73,850.39
00006473.png 509.76,210.8;1510.62,192.29;1527.65,830.63;530.72,864.99
00006506.png 495.35,204.44;1520.12,183.21;1529.29,837.4;512.71,874.41
00006539.png 475.98,208.8;1518.76,183.42;1535.53,855.86;494.84,888.63
00006573.png 452.43,213.78;1517.02,190.51;1532.04,871.5;473.9,906.69
00006606.png 434.71,219.13;1517,194.77;1533.1,887.67;456.71,924.48
00006639.png 417.41,223.68;1519.13,199.89;1538.78,906.95;440.99,941.31
00006673.png 406.97,228.77;1530.58,202.44;1546.35,921.13;429.06,960.31
00006706.png 387.77,225.65;1552.11,200.27;1568.88,940.37;416.06,982.66
00006740.png 379.92,222.06;1566.28,196.69;1587.24,952.65;406.12,993.88
00006773.png 372.54,214.76;1586.35,189.98;1604.78,966.42;399.15,1007.72
00006806.png 366.4,212.7;1601.34,184.61;1617.06,972.29;394.81,1011.94
00006840.png 358.21,202.37;1617.06,173.46;1635.48,978.81;388.91,1020.11
00006873.png 347.57,190.39;1633.02,163.96;1647.76,985.01;378.68,1026.31
00006906.png 335.69,179.66;1647.76,154.88;1662.09,982.94;368.44,1028.37
00006940.png 323.98,166.77;1657.59,140.34;1674.62,987.49;359.36,1032.42
00006973.png 310.72,154.88;1673.14,130.1;1687.88,992.44;341.83,1035.4
00007007.png 300.9,140.42;1684.61,115.64;1698.93,993.27;333.65,1036.63
00007040.png 296.8,132.16;1694.84,107.38;1705.07,991.2;333.65,1040.76
00007073.png 282.47,113.58;1705.07,86.73;1718.67,992.53;316.53,1035.89
00007107.png 268.14,97.06;1715.31,74.34;1723.5,985.01;307.04,1030.44
00007140.png 243.99,76.82;1717.77,52.04;1724.32,982.12;281.65,1030.03
00007173.png 229.25,66.08;1713.26,45.43;1715.31,978.81;268.14,1024.24
00007207.png 211.59,62.18;1698.71,38.27;1701.98,976.91;251.21,1022.07
00007240.png 202.64,61.95;1682.56,35.11;1686.65,972.62;239.49,1015.98
00007273.png 194.46,57.82;1666.18,33.04;1668.23,960.23;233.35,1001.53
00007307.png 196.5,59.56;1639.57,34.78;1647.76,947.52;237.44,995.01
00007340.png 202.64,66.08;1627.29,43.37;1629.34,937.51;245.63,982.94
00007374.png 215.33,69.55;1611.29,45.23;1617.58,929.12;250.97,969.3
00007407.png 234.08,75.5;1603.06,58.32;1608.3,923.97;270.77,960.97
00007440.png 262,86.73;1592.49,70.21;1594.54,914.8;292.71,954.03
00007474.png 277.47,106.07;1577.02,88.89;1580.95,909.61;314.16,945.29
00007507.png 298.85,128.03;1561.79,109.45;1559.74,912.73;325.46,943.71
00007540.png 318.5,152.81;1540.09,137.94;1543.37,911.08;349.61,937.51
00007574.png 358.21,183.79;1518.81,167.27;1524.95,906.54;380.72,931.32
00007607.png 379.23,198.8;1511.09,184;1515.29,902.95;403.34,927.27
00007640.png 404.28,201.78;1503.61,187.57;1512.33,886.56;427.76,910.25
00007674.png 430.28,195.99;1506.59,182.25;1512.88,869.48;451.24,890.63
00007707.png 452.14,198.29;1502.25,184.55;1512.73,858.04;471,880.24
00007741.png 468.74,196.18;1506.52,179.66;1518.81,840.46;491.26,863.17
00007774.png 484.07,194.21;1506.93,179.41;1516.37,829.64;506.08,856.07
00007807.png 501.15,197.68;1505.15,181.82;1516.68,822.53;522.11,850.02
00007841.png 518.34,206.15;1503.48,189.23;1512.7,817.68;535.95,843.06
00007874.png 532.77,215.42;1494.32,196.92;1507.43,812.79;548.49,839.22
00007907.png 542.02,221.95;1480,203.44;1494.41,807.42;559.05,831.21
00007941.png 548.03,231.07;1468.19,209.92;1481.81,802;568.99,827.37
00007974.png 554.71,236.07;1456.01,214.93;1471.73,792.47;575.67,818.9
00008008.png 565.38,240.71;1439.84,218.72;1453.26,777.81;583.82,805.72
00008041.png 569.04,242.6;1421.86,220.13;1440.2,768.6;591.31,795.03
00008074.png 572.97,245.59;1410.34,221.27;1428.15,759.43;590.79,786.92
00008108.png 577.15,247.06;1397.22,221.95;1414.25,750.59;595.49,774.38
00008141.png 585.14,245.42;1381.12,222.4;1396.66,733.28;603.09,759.24
00008174.png 591.6,246.56;1368.31,222.88;1383.07,721.58;609.71,745.94
00008208.png 601.71,247.72;1356.28,224.46;1372,709.75;619.53,736.18
00008241.png 610.86,252.76;1345.52,229.5;1361.24,699.99;626.58,727.48
00008274.png 619.37,258.62;1334.54,235.78;1350.47,694.22;637.82,719.59
00008308.png 626.35,264.32;1321.14,239.87;1339.6,684.74;641.2,712.65
00008341.png 632.29,265.73;1310.57,243.73;1328.18,676.8;649.9,704.71
00008375.png 639.62,270.98;1297.78,246.46;1316.22,669.37;656.39,695.59
00008408.png 648.43,275.75;1288.14,253.75;1305.75,663.98;664.36,687.66
00008441.png 656.79,282.23;1273.86,260.23;1294.83,657.77;670.21,681.46
00008475.png 669.87,293.09;1258.1,270.76;1274.87,646.98;683.28,671.34
00008508.png 678.3,295.95;1249.26,274.81;1266.03,637.67;693.39,661.35
00008541.png 693.91,297.82;1243.91,277.25;1261.62,630.19;706.79,649.68
00008575.png 707.13,300.36;1239.42,279.79;1256.59,621.91;718.4,643.02
00008608.png 716.96,304.38;1235.44,282.05;1254.22,615.65;730.38,635.95
00008641.png 721.71,307.51;1230.63,288.05;1250.75,610.31;732.61,631.46
00008675.png 725.96,310.53;1222.72,290.44;1245.78,609.74;736.44,628.77
00008708.png 728.48,314.2;1220.39,294.99;1240.06,608.44;738.24,629.23
00008742.png 732.08,320.51;1215.68,300.89;1235.13,606.74;742.14,628.39
00008775.png 735.07,326.84;1209.61,307.39;1230.57,608.5;744.29,628.8
00008808.png 739.86,333.58;1205.35,314.64;1222.12,607.63;750.59,628.61
00008842.png 746.97,340.64;1199.72,319.5;1217.53,607.08;755.36,629.28
00008875.png 750.69,344.72;1195.05,325.27;1216.85,606.93;758.23,627.23
00008908.png 753.85,356.51;1188.15,337.05;1207.43,608.56;763.07,629.71
00008942.png 755.62,362.47;1180.7,345.55;1199.14,611.14;764.84,632.29
00008975.png 756.67,369.44;1176.55,351.84;1196.67,615.74;764.72,634.01
00009009.png 759.96,377.97;1171.71,362.03;1190.6,620.14;767.17,637.81
00009042.png 762.2,385.23;1165.98,369.67;1184.09,620.71;766.89,640.34
00009075.png 762.38,394.21;1158.12,378.65;1176.22,624.96;767.75,642.55
00009109.png 764.35,400.27;1151.98,385.98;1170.44,626.33;767.36,643.65
00009142.png 764.06,407.27;1144.37,392.38;1162.48,627.86;768.09,642.75
00009175.png 766.3,411.47;1138.56,397.26;1154.65,628.01;768.98,642.22
00009209.png 768.72,413.64;1132.4,400.48;1149.91,623.59;772.5,639.18
00009242.png 772.47,413.84;1129.83,400.31;1147.54,620.63;775.15,634.17
00009275.png 775.6,413.22;1128.68,401.32;1144.77,617.31;779.36,627.59
00009309.png 781.65,410.53;1127.21,398.08;1144.92,607.03;785.41,621.11
00009342.png 794.74,410.09;1128.43,396.55;1146.87,597.02;798.93,611.39
00009376.png 806.12,409.16;1133.94,394.78;1153.23,589.32;811.99,605.39
00009409.png 815.13,407.38;1137.52,393.62;1153.3,583.34;821.53,598.4
00009442.png 824.89,405.46;1139.87,391.38;1158.65,574.89;831.33,589.51
00009476.png 834.94,402.1;1140.79,388.56;1161.72,565.04;841.91,580.19
00009509.png 846.55,395;1143.69,380.79;1163.14,549.96;852.59,565.52
00009542.png 855.49,386.27;1144.3,372.07;1163.53,534.21;863.38,548.76
00009576.png 862.04,374.62;1142.61,361.11;1162.53,519.09;868.91,531.91
00009609.png 865.24,361.28;1139.29,348.46;1157.49,499.16;873.49,512.33
00009642.png 864.74,348.56;1131.92,337.13;1151.84,478.83;873.67,493.73
00009676.png 863.21,338.3;1123.17,324.79;1142.75,464.41;870.76,477.92
00009709.png 861.37,330.18;1115.77,318.58;1133.48,454;868.82,466.23
00009743.png 860.26,327.25;1108.55,315.81;1127.44,446.42;867.47,458.9
00009776.png 858.84,327.56;1103.01,317.51;1119.5,442.23;866.4,454.36
00009809.png 858.94,333.28;1093.69,324.49;1110.46,442.9;865.65,455.08
00009843.png 858.04,338.07;1088.81,328.37;1104.27,445.47;864.56,455.86
00009876.png 859.39,339.74;1086.04,331.07;1100.81,445.06;865.23,454.41
00009909.png 860.24,340.49;1082.78,333.56;1097.2,444.08;864.71,452.74
00009943.png 857.66,340.36;1077.45,333.43;1091.53,441.87;862.47,448.8
00009976.png 857.46,338.3;1072.52,330.94;1085.4,436.17;860.04,442.67
00010010.png 854.25,328.7;1067.86,323.16;1079.53,426.4;857.69,431.6
00010043.png 854.03,318.77;1064.54,313.92;1074.84,413.01;856.43,418.9
00010076.png 854.36,306.72;1059.72,301.87;1068.65,396.8;857.1,402.34
00010110.png 855.87,292.1;1057.46,288.63;1066.73,380.79;856.56,385.64
00010143.png 857.32,279.21;1055.47,276.09;1063.72,366.86;856.98,370.67
00010176.png 858.27,271.09;1054.36,267.28;1060.89,354.93;857.59,357.35
00010210.png 861.13,265.17;1053.78,263.78;1059.62,347.62;860.44,350.05
00010243.png 866.11,264.05;1051.9,261.97;1057.74,342.35;866.46,344.77
00010276.png 869.76,266.25;1053.81,265.17;1059.17,343.66;869.76,344.2
00010310.png 872.9,271.16;1053.88,269.43;1059.71,345.65;872.55,347.38
00010343.png 877.83,275.87;1056.05,274.36;1061.47,348.89;876.63,351.62
00010377.png 881.59,281.1;1058.05,278.8;1064.49,352.42;881.62,355.02
00010410.png 889.52,287.22;1062.6,284.79;1069.46,357.2;889.86,359.28
00010443.png 896.74,292.76;1069.13,290.68;1074.97,363.44;897.77,365.17
00010477.png 904.15,298;1074.83,294.54;1080.66,363.83;905.18,368.33
00010510.png 911.17,298.12;1077.38,294.65;1085.97,362.56;912.54,366.37
00010543.png 915.99,297.18;1080.19,294.48;1089.85,359.44;918.14,363.77
00010577.png 919.98,293.46;1082.67,288.93;1091.25,353.35;923.25,358.72
00010610.png 920.86,292.65;1081.84,285.89;1089.38,347.63;925.06,353.55
00010643.png 917.46,290.62;1074.05,284.04;1084.36,345.02;920.55,352.64
00010677.png 907.87,288.76;1061.03,282.18;1069.27,340.04;911.65,347.66
00010710.png 899.07,290.21;1049.83,283.28;1060.13,341.14;902.16,347.72
00010744.png 887.88,290.4;1037.61,283.47;1043.79,339.25;891.66,347.56
00010777.png 878.61,295.52;1025.25,288.59;1033.83,342.29;882.04,350.26
00010810.png 870.28,298.98;1014.09,291.94;1022.13,343.91;873.5,352.57
00010844.png 860.95,303.44;1004.5,295.81;1013.43,348.47;865.07,356.1
00010877.png 855.24,308.21;997.07,301.29;1004.97,352.91;858.67,360.18
00010910.png 851.17,314.88;991.28,307.25;998.5,358.18;853.23,365.11
00010944.png 847.91,320.66;986.3,313.04;990.42,363.96;849.97,370.55
00010977.png 844.77,325.09;981.79,318.86;988.66,367.36;848.2,374.64
00011011.png 841.86,330.57;978.2,324.34;985.41,372.15;844.95,378.38
00011044.png 841.38,335.16;975.31,329.61;981.83,376.04;844.47,382.62
00011077.png 840.77,337.07;975.05,332.57;981.23,379.34;843.52,384.53
00011111.png 845.63,338.83;976.56,335.36;980.85,378.24;846.92,383
00011144.png 850.04,336.67;979.25,333.64;983.54,377.81;850.9,381.71
00011177.png 853.42,335.26;982.54,332.15;986.32,373.72;854.11,378.22
00011211.png 859.37,330.17;985.57,327.14;989.44,369.58;859.37,373.05
00011244.png 863.57,323.38;990.98,321.64;993.38,362.87;863.57,365.64
00011277.png 869.44,317.07;996.51,314.64;997.54,358.3;870.47,359.34
00011311.png 878.19,312.1;1002.51,310.37;1003.2,350.21;877.16,351.25
00011344.png 885.97,304.18;1009.94,303.14;1010.62,343.33;885.28,344.37
00011378.png 896.97,298.82;1019.92,297.78;1021.63,337.28;895.26,339.01
00011411.png 907.86,293.19;1030.46,291.8;1032.17,332.34;906.14,333.03
00011444.png nan,nan;nan,nan;nan,nan;nan,nan
00011478.png 932.94,286.3;1051.66,286.3;1053,322.84;930.26,323.52
00011511.png 943.05,285.67;1062.55,285.33;1062.9,323.78;940.99,323.44
00011544.png 951.92,286.78;1070.89,286.35;1073.03,323.78;950.64,324.21
00011578.png 963.57,293.33;1080.99,293.02;1083.16,329.7;962.33,329.7
00011611.png 967.66,296.98;1086.48,296.28;1088.19,333.7;966.97,334.05
00011644.png 973.27,303.25;1088.32,303.25;1089,338.59;969.84,339.97
00011678.png 974.28,309.5;1089.67,308.81;1091.39,344.15;973.25,345.19
00011711.png 974.46,314.87;1089.84,313.14;1090.19,349.17;974.11,349.87
00011745.png 976.59,318.11;1090.61,316.73;1092.32,353.11;974.88,354.15
