00000033.png 767.33,244;1281.34,245.17;1295.67,762.46;757.65,759.64
00003336.png 651.51,240.03;1176.29,228.97;1198.52,754.72;653.81,765.74
00003370.png 712.82,241.44;1236.04,229.79;1262.73,757.46;718.07,767.22
00003403.png 741.17,240.79;1265.76,229.98;1291.44,758.07;749.86,766.36
00003436.png 771.94,241.34;1297.66,229.58;1327.39,758.44;779.08,766.59
00003470.png 834.53,239.15;1359.35,227.89;1389.67,758.54;842,765.19
00003503.png 866.98,238.5;1388.79,226.95;1420.9,756.99;874.96,763.45
00003536.png 893.25,236.53;1423.88,225.03;1454.51,757.33;902.07,763.62
00003570.png 956.64,233.29;1484.37,223.2;1516.79,757.08;967.25,761.76
00003603.png 987.4,233;1514.22,222.22;1547.5,756.72;996.84,760.73
00003636.png 1014.17,231.64;1545.64,221.97;1580.74,755.41;1027.31,759.72
00003670.png 1067.86,229.45;1603.45,219.57;1642.03,754.5;1081.8,758.98
00003703.png 1095.58,226.91;1630.04,217.44;1667.3,753.93;1109.45,757.18
00003737.png 1121.14,225.56;1651.89,216.47;1690.72,751.57;1134.98,756.41
00003770.png 1159.79,221.21;1697.19,211.13;1737.5,749.75;1173.95,753.71
00003803.png 1175.07,217.92;1713.61,208.25;1753.71,747;1189.55,753.02
00003837.png 1186.99,216.46;1723.3,207.17;1763.17,743.73;1201.43,751.34
00003870.png 1192.1,215.37;1731.5,203.66;1771.8,744.37;1207.27,751.07
00003903.png 1187.68,214.62;1728.25,202.08;1768.93,743.67;1203.38,751.8
00003937.png 1177.52,214.41;1717.5,201.16;1758.12,742.79;1192.57,751.54
00003970.png 1137.74,215.92;1676.34,198.72;1718.35,741.37;1152.6,752.72
00004004.png 1105.49,217.51;1650.49,197.88;1689.8,740.38;1120.31,754.43
00004037.png 1074.42,218.77;1612.2,198.51;1653.63,738.45;1090.89,755.67
00004070.png 991.71,223.18;1530.55,197.29;1567.33,739.71;1007.89,756.95
00004104.png 948.02,224.88;1479.89,198.05;1517.84,738.03;961.64,758.16
00004137.png 897.69,227.05;1433.43,197.73;1469.48,737.14;912.75,759.8
00004170.png 793.38,229.63;1322.63,199.23;1361.93,735.8;806.48,762.24
00004204.png 739.26,232.38;1268.36,199.16;1303.49,735.8;751.71,766.58
00004237.png 676.73,234.31;1216.66,200.1;1251.16,736.06;688.4,769.81
00004270.png 561.22,240.4;1094.92,203.16;1135.18,738.28;575.34,777
00004304.png 507.36,242.42;1037.7,205.2;1073.15,739.03;523.37,779.64
00004337.png 451.29,245.4;989.43,207.47;1026.17,740.44;463.59,783.25
00004371.png 354.78,249.51;885.47,210.15;920.8,742.84;368.86,789.17
00004404.png 305.48,251.41;839.25,210.42;872.68,744.53;322.56,791.64
00004437.png 263.42,252.35;802.98,210.12;837.92,745.19;274.05,792.93
00004471.png 194.11,250.02;732.93,208.13;766.5,745.74;204.31,792.76
00004504.png 170.55,247.85;709.01,206.98;743.52,744.82;178.9,791.29
00004537.png 153.02,245.13;692.81,204.67;726.18,743.62;163.89,789.16
00004571.png 142.49,239.58;683.47,201.55;717.02,741.52;152.7,785.08
00004604.png 149.72,237.21;692.35,201.1;725.96,741.44;160.93,783.28
00004637.png 164.92,235.87;706.54,201.28;740.33,741.56;175.5,782.31
00004671.png 220.3,236.98;757.37,208.81;788.68,744.81;231.74,779.35
00004704.png 255.39,237.65;799.16,211.19;830.36,746.78;265.34,780.6
00004738.png 300.92,237.26;842.94,213.73;874.62,748.59;309.57,780.16
00004771.png 415.86,236.01;946.56,218.76;978.23,754.28;424.38,778.04
00004804.png 472.62,236.72;1010.36,222.73;1042.71,756.12;483.98,778.97
00004838.png 541.19,237.89;1072.48,225.24;1100.16,761.74;554.55,779.75
00004871.png 671.27,241.1;1209.2,231.72;1241.14,768.48;679.13,776.71
00004904.png 737.13,243.54;1279.53,236.01;1308.66,773.4;742.62,778.03
00004938.png 803.98,246.19;1346.06,239.66;1372.55,779;808.73,780.29
00004971.png 930.96,251.68;1479.15,249.27;1509.07,791.13;937.17,787.38
00005005.png 994.25,252.6;1544.28,251.17;1573.59,794.85;998.69,789.23
00005038.png 1057.45,253.11;1597.5,253.08;1634.07,796.99;1067.65,790.91
00005071.png 1157.67,251.57;1704.17,253.41;1731.79,798.16;1162.86,790.39
00005105.png 1194.12,250.46;1736.72,254.28;1769.85,797.45;1199.89,791.73
00005138.png 1218.29,250.85;1762.17,253;1790.9,798.46;1224.31,791.77
00005171.png 1223.06,251.73;1764.87,251.15;1791.86,796.71;1225.7,791.75
00005205.png 1199.65,249.73;1741.86,248.45;1768.97,792.75;1203.75,790.85
00005238.png 1166.16,250.67;1709.37,246.11;1735.76,792.26;1168.63,789.68
00005271.png 1056.83,251.76;1611.38,242.28;1633.61,789.81;1055.97,791.26
00005305.png 987.22,252.04;1541.64,239.82;1561.88,788.12;982.88,792.56
00005338.png 914,251.99;1457.24,236.69;1479.54,785.38;913.3,793.64
00005372.png 742.02,250.13;1282.97,230.81;1309.51,779.44;736.92,796.99
00005405.png 636.5,248.51;1199.64,226.59;1222.43,775.29;630.68,799.27
00005438.png 552.89,248.7;1098.49,224.1;1118.6,771.67;548.74,801.72
00005472.png 373.03,245.3;936.84,216.91;957.54,767.13;368.69,802.02
00005505.png 294.7,243.43;859.97,211.89;880.26,765.66;296.09,801.8
00005538.png 239.73,240.72;791.97,208.23;813.7,760.83;239.17,799.2
00005572.png 145.21,232.18;703.38,198.43;727.48,756.06;145.33,793.96
00005605.png 122.05,225.23;682.98,193.19;707.69,752.23;122.92,789.47
00005638.png 118.38,217.58;678.98,186.45;704.54,745.66;121.82,781.34
00005672.png 158.12,202.4;719.13,175.99;742.87,734.15;161.28,766.05
00005705.png 197.39,196.08;753.16,173.23;780.39,730.7;201.71,758.94
00005739.png 250.76,191.1;802.88,172.52;830.62,727.21;254.3,752.01
00005772.png 382.89,184.62;947.99,172.32;974.11,722.37;384.61,739.71
00005805.png 468.51,180.6;1030.03,172.45;1052.23,721.41;472.82,733.51
00005839.png 558.89,178.48;1113.46,174.37;1138.55,722.27;558.17,728.53
00005872.png 738.92,178.01;1298.18,177.98;1319.72,726.99;738.76,722.03
00005905.png 829.31,177.84;1379.81,181.17;1403.06,733.01;826.06,722.18
00005939.png 907.05,181.91;1472.85,188.74;1493.02,740.36;905.66,725.92
00005972.png 1063.66,193.27;1619.52,207.01;1634.23,758.87;1053.54,736.16
00006006.png 1123.73,199.64;1675.15,214.41;1688.68,765.99;1113.77,743.11
00006039.png 1171.25,204.37;1719.34,219.74;1728.85,770.85;1160.24,747.31
00006072.png 1218.42,206.37;1769.05,222.59;1775.36,775.3;1202.15,750.12
00006106.png 1218.91,206.09;1769.73,222.81;1774.55,774.95;1200.34,749.67
00006139.png 1204.29,204.71;1754.95,221.21;1758.04,775.07;1184.72,749.52
00006172.png 1135.74,205.58;1685.9,217.8;1686.46,772.55;1111.82,750.29
00006206.png 1085.37,205.18;1646.76,216.92;1642.34,772.4;1059.19,749.5
00006239.png 1030.88,205.91;1587.22,214.54;1586.32,771.8;1008.6,749.91
00006272.png 923.17,207.25;1475.96,212.19;1477.15,766.82;903.62,750.34
00006306.png 872.28,205.67;1428.91,208.32;1427.99,761.56;850.77,748.78
00006339.png 824.15,204.61;1375.99,206.69;1377.31,756.58;805.76,747.61
00006373.png 739.19,199.37;1286.42,197.38;1290.73,745.32;722.71,742.2
00006406.png 701.97,194.79;1245.87,191.46;1251.55,738.94;689.91,739.57
00006439.png 673.8,193.62;1215.92,188.92;1223.07,733.6;660.24,736.09
00006473.png 615.99,185.66;1155.04,178.59;1169.04,721.53;607.93,729.76
00006506.png 592.5,183.25;1134.39,173.68;1148.01,714.8;585.17,725.79
00006539.png 576.28,180.78;1115.16,169.57;1130.21,709.51;569.65,721.94
00006573.png 552.08,178.96;1090.06,164.72;1110.23,702.85;550.28,718.6
00006606.png 545.65,178.91;1083.05,163.89;1104.21,699.39;546.71,717.87
00006639.png 544.75,180.08;1078.15,164.89;1101.72,696.36;546.9,716.58
00006673.png 548.94,184.63;1077.98,166.85;1105.21,692.05;555.24,714.94
00006706.png 555.86,187.71;1079.75,168.46;1108.93,689.29;563.21,713.33
00006740.png 562.3,190.64;1083.79,170.1;1115.06,687.47;571.19,713.83
00006773.png 575.65,192.94;1092.29,170.53;1127.55,680.88;589.78,710.38
00006806.png 585.9,194.18;1097.97,170.59;1135.03,676.9;601.11,707.94
00006840.png 595.18,193.13;1105.26,167.97;1145.68,672.48;611.35,704.29
00006873.png 605.91,193.34;1111.38,165.94;1153.92,666.2;624.28,700.01
00006906.png 625.83,192.7;1124.37,161.8;1172.24,653.87;647.81,691.44
00006940.png 633.3,191.48;1128.89,159.92;1178.1,647.61;658.66,688.18
00006973.png 640.68,191.17;1134.9,156.98;1186.77,642.98;668.22,683.6
00007007.png 652.56,191.76;1142.07,153.58;1198.37,632.63;683.87,677.47
00007040.png 658.24,192.15;1144.86,153.35;1202.4,630.09;690.07,676.07
00007073.png 661.88,194.04;1146.51,154.16;1206.64,627.44;694.94,676.08
00007107.png 664.05,200.84;1144.95,158.94;1207.4,627.22;699.4,678.08
00007140.png 662.81,203.73;1141.94,161.48;1205.94,626.09;699.75,677.82
00007173.png 663.78,207.05;1138.73,163.57;1203.08,624.13;700.61,676.99
00007207.png 665,214.66;1132.62,170.96;1198.4,622.61;701.36,675.7
00007240.png 665.52,218.85;1128.36,175.77;1196.02,623.06;701.72,675.31
00007273.png 667,222.6;1125.99,180.35;1192.27,622.65;701.42,674.81
00007307.png 668.67,228.4;1119.16,188.06;1184.76,617.66;701.82,668.6
00007340.png 670.01,230.79;1115.08,191.22;1178.83,615.21;701.2,664.49
00007374.png 668.56,232.12;1110.34,193.23;1173.59,613.91;698.18,661.25
00007407.png 665.97,232.9;1100.17,198.04;1159.85,605.76;691.68,651.33
00007440.png 666.42,232.38;1094.36,199.1;1151.25,600.17;688.47,642.04
00007474.png 662.04,229.1;1087.09,198.85;1141.9,592.67;683.49,632.74
00007507.png 660.09,221.58;1073.35,194.68;1122.5,573.8;675.72,609.47
00007540.png 658.82,215.79;1066.37,190.32;1113.38,562.37;671.96,595.24
00007574.png 657.94,209.49;1060.14,185.86;1105,549.46;669.08,580.06
00007607.png 657,198.06;1046.7,178.94;1086.62,526.86;663.75,553.35
00007640.png 658.98,196.11;1040.8,178.43;1078.85,516.9;662.21,541.89
00007674.png 659.81,192.14;1037.35,175.76;1074.19,506.84;661.35,530.19
00007707.png 664.92,188.73;1032.2,175.1;1064.71,492.64;665.22,512.34
00007741.png 668.92,187.97;1030.99,175.14;1061.92,488.02;666.97,505.43
00007774.png 672.14,186.78;1029.42,174.44;1058.64,479.49;669.53,497.4
00007807.png 677.41,187.34;1025.94,176.3;1054.59,471.32;672.76,487.44
00007841.png 679.81,189.33;1024.84,178.84;1052.98,469.02;674.89,484.33
00007874.png 684.34,191.93;1024.66,182.2;1052.34,466.21;679.71,480.95
00007907.png 693.4,197.5;1026.36,188.11;1053.45,461.72;688.58,475.96
00007941.png 698.26,199.88;1026.56,190.09;1054,457.97;694.15,472.46
00007974.png 704.46,200.56;1028.69,191.4;1055.81,454.16;700.19,468.92
00008008.png 716.74,202.85;1033.49,193.41;1061.3,446.76;713.58,461.14
00008041.png 720.88,201.51;1035.25,192.17;1063.23,441.88;717.39,456.17
00008074.png 726.9,202.38;1037.5,192.51;1065.15,437.62;724.66,452.45
00008108.png 743,204.13;1044.81,193.41;1074.4,429.84;742.31,443.94
00008141.png 749.77,204.82;1050.1,193.57;1079.34,426.58;750.34,441.58
00008174.png 756.45,205.96;1053.28,193.24;1083.99,422.91;757.35,438.06
00008208.png 771.06,206.34;1062.33,193.53;1093.54,414.32;774.35,430.08
00008241.png 778.24,205.77;1066.34,193.65;1098.56,410.6;781.55,426.66
00008274.png 784.02,205.76;1069.68,193.2;1102.11,407.24;788.02,424.21
00008308.png 796.96,203.99;1077.78,190.03;1110.12,396.54;803.48,413.3
00008341.png 803.06,201.89;1080.51,188.58;1114.52,390.86;808.81,408.17
00008375.png 807.38,201.31;1082.44,187.13;1115.37,387.03;814,404.31
00008408.png 814.68,197.89;1083.99,184.69;1118.59,378.05;822.16,395.97
00008441.png 815.81,198.19;1085.49,183.97;1119.18,376.29;823.73,393.47
00008475.png 819.01,198.97;1085.91,185.88;1118.82,376.1;826.36,392.85
00008508.png 821.26,205.52;1085.82,190.05;1119.97,376.99;828.65,395.04
00008541.png 822.9,209.64;1086.19,195.15;1120.3,381.99;830.05,399.45
00008575.png 822.83,214.96;1086.6,200.89;1120.33,387.15;830.41,403.87
00008608.png 823.41,226.87;1088.31,212.53;1122,399.13;830.89,417.17
00008641.png 823.19,233.86;1088.74,219.63;1122.95,407.66;830.31,424.8
00008675.png 821.62,240.32;1089.55,225.77;1123.27,415.45;828.54,433.02
00008708.png 817.25,252.9;1088.67,239.66;1122.43,433.99;822.94,450.72
00008742.png 814.11,259.83;1087.95,246.11;1122.16,443.36;818.67,459.82
00008775.png 809.46,265.65;1087.44,252.55;1121.23,453.46;814.02,470.11
00008808.png 799.4,279.04;1083.6,267.22;1116.9,475.16;801.88,491.62
00008842.png 793.88,285.96;1081.77,273.7;1115.42,487.03;794.89,503.21
00008875.png 788.11,291.88;1080.13,280.07;1113.85,497.92;789.01,513.68
00008908.png 771.92,301.56;1073.99,291.31;1106.69,518.84;770.64,534.36
00008942.png 764.25,306.07;1070.31,295.85;1102.28,529.72;760.85,543.81
00008975.png 756.3,309.01;1067.1,298.83;1097.95,537.95;751.98,551.81
00009009.png 744.12,312.56;1063.22,303.99;1093.02,553.83;735.41,566.73
00009042.png 735.68,312.13;1061.13,303.66;1090.75,561.45;726.46,574.26
00009075.png 729.43,311.12;1059.48,303.91;1088.1,566.52;717.78,578.82
00009109.png 716.3,307.06;1056.79,300.7;1084.19,575.83;702.46,586.73
00009142.png 709.92,303.74;1057.33,297.37;1084.13,579.77;695.17,589.46
00009175.png 705.04,297.85;1057.96,293.09;1083.96,580.46;688.43,590.19
00009209.png 700.47,284.6;1062.52,281.06;1088.16,581.83;680.96,590.65
00009242.png 698.72,278.33;1067.76,274.43;1092.66,582.1;678.05,590.14
00009275.png 696.45,269.85;1072.83,266.37;1098.26,582.84;675.17,590.61
00009309.png 695.14,256.32;1085.36,253.56;1110.31,585.81;671.33,592.87
00009342.png 695.98,251.04;1092.02,248.27;1117.12,589.67;670.69,594.69
00009376.png 695.14,244.63;1098.79,242.4;1123.14,591.33;669.38,596.31
00009409.png 694.47,235.32;1113.04,233.44;1138.23,600.29;668.14,604
00009442.png 695.17,232.09;1120.38,229.71;1145.7,605.3;667.16,609.85
00009476.png 694.21,230.28;1127.21,228.01;1152.54,611.86;666.39,616.34
00009509.png 692.62,229.16;1139.94,226.85;1165.65,628.65;662.85,632.7
00009542.png 693.2,231.7;1145.52,228.88;1172.72,638.46;661.72,642.16
00009576.png 689.98,231.42;1151.49,228.54;1179.41,648.53;657.82,653.01
00009609.png 687.18,238.6;1161.37,235.6;1191.3,671.92;653.87,676.85
00009642.png 683.93,241.69;1167.6,237.61;1198.2,685.69;649.47,691.36
00009676.png 681.73,247.3;1173.15,242.16;1203.3,700.67;646.39,705.14
00009709.png 675.49,262.23;1183.53,256.92;1217.67,736.64;638.45,742.23
00009743.png 671.52,271.56;1188.42,265.2;1222.74,754.55;635.39,760
00009776.png 668.51,281.88;1192.27,275.23;1228.68,775.21;629.47,780.84
00009809.png 661.82,296.35;1197.39,289.38;1234.72,804.18;621.48,809.94
00009843.png 660.76,304.78;1198.51,297.5;1235.92,815.92;618.36,822.02
00009876.png 659.41,310.58;1199.14,303.24;1237.16,823.09;617.68,830.2
00009909.png 660,324.06;1194.36,314.97;1233.49,829.46;619.05,836.43
00009943.png 665.09,327.13;1192.82,318.65;1230.76,826.48;623.54,832.54
00009976.png 667.79,330.04;1188.83,322.12;1225.91,819.81;628.46,826.92
00010010.png 675.99,331.94;1178.1,323.69;1213.75,796.69;639.24,805.15
00010043.png 679.63,330.84;1170.95,322.66;1206.47,780.79;645.61,790.49
00010076.png 685.88,326.46;1164.91,318.31;1199.22,761.97;652.77,771.64
00010110.png 695.72,322.5;1150.67,313.86;1183.51,727.4;666.15,738.21
00010143.png 701.38,320.25;1143.67,311;1176.16,708.1;673.42,720.05
00010176.png 706.34,317.53;1137.14,308.37;1169.03,689.77;680.6,703.4
00010210.png 716.62,313.74;1124.54,303.74;1156.76,660.68;693.44,672.8
00010243.png 721.75,311.99;1119.99,301.6;1150.77,644.07;700.04,658.01
00010276.png 725.77,311.01;1112.72,299.79;1143.09,630.03;705.5,644.44
00010310.png 733.04,303.06;1102.56,290.98;1131.76,598.67;715.49,614.35
00010343.png 737.01,301.8;1097.58,289.73;1127.13,586.71;721.58,602.65
00010377.png 740.92,299.29;1094.65,286.86;1123.55,574.11;727.07,590.47
00010410.png 750.1,292.35;1089.03,278.9;1117.52,549.05;738.36,565.87
00010443.png 754.15,288.92;1085.8,275.66;1114.62,536.66;742.97,552.94
00010477.png 756.44,282.61;1082.9,269.01;1111.32,522.86;747,539.71
00010510.png 761.84,271.83;1076.89,257.98;1105.39,499.81;753.45,516.46
00010543.png 765.44,267.33;1075.82,253.69;1103.52,485.79;758.22,503.36
00010577.png 770.04,261.28;1074.95,246.63;1102.16,474.55;763.3,492.04
00010610.png 775.04,253.55;1073.08,238.71;1100.18,457.78;769.92,474.14
00010643.png 777.5,248.27;1072.05,233.83;1099.36,448.41;771.69,464.89
00010677.png 780.64,243.36;1071.61,229.5;1097.68,441.34;775.34,457.74
00010710.png 784.34,238.54;1069.74,225.51;1095.02,430.64;778.92,446.4
00010744.png 785.47,236.67;1068.98,223.4;1093.74,427.01;780.37,442.5
00010777.png 787.38,235.42;1067.75,223.32;1093.84,424.46;782.09,439.28
00010810.png 785.4,233.13;1067.51,221.21;1092.62,423.62;780.06,438.37
00010844.png 783.93,234.77;1066.57,222.79;1092.28,426.08;778.57,441.34
00010877.png 781.34,233.76;1066.09,222.95;1092.26,428.79;776.75,441.96
00010910.png 776.69,235.21;1066.79,224.7;1093.88,435.55;769.35,449.75
00010944.png 771.53,236.97;1067.82,226.38;1094.37,443.32;764.61,457.2
00010977.png 766.34,239.39;1069.2,229.37;1096.23,452.71;758.18,465.94
00011011.png 757.37,243.26;1073.94,234.06;1102.93,472.04;748.07,485.57
00011044.png 750.26,245.01;1075.58,236.42;1105.15,481.84;741.32,496.04
00011077.png 745.92,245.53;1079.03,237.01;1109.09,493.65;733.83,506.44
00011111.png 731.65,245.13;1085.01,236.37;1116.36,515.46;717.53,527.62
00011144.png 723.77,242.28;1088.94,234.7;1120.55,525.89;708.42,537.4
00011177.png 714.85,235.48;1091.41,228.12;1126.29,533.47;697.14,544.94
00011211.png 701.22,229.04;1103.32,222.36;1139.08,553.53;682.04,564.9
00011244.png 694.84,226.34;1110.54,218.84;1148.16,566.04;673.62,577.53
00011277.png 687.15,222.57;1118.19,216.36;1157.97,578.96;665.29,590.28
00011311.png 674.97,225.46;1131.55,220.1;1174.25,614.38;649.71,625.65
00011344.png 669.78,227.36;1140.92,221.45;1185.6,632.08;641.62,643.52
00011378.png 665.01,228.04;1149.84,223.64;1197.14,647.39;635.08,660.69
00011411.png 656.12,233.55;1170.14,229.59;1223.65,689.15;623.96,700.53
00011444.png 653.37,238.58;1180.03,233.5;1234.76,708.26;618.03,719.38
00011478.png 652.24,248.9;1188.32,244.5;1244.26,729.32;615.67,742.32
00011511.png 648.29,264.92;1203.78,260.49;1263.8,770.16;608.91,781.21
00011544.png 647.13,275.06;1206.06,270.67;1266.5,784.92;606.8,795.31
00011578.png 648.05,282.31;1206.87,277.98;1267.42,790.84;608.05,801.49
00011611.png 657.13,288.87;1200.2,285.2;1257.07,776.51;618.71,786.7
00011644.png 665.04,291.18;1193.02,287.38;1247.84,761.87;629.13,771.93
00011678.png 674.98,292.48;1186.7,290.2;1238.25,741.67;642.19,750.15
